Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17
NAME,X,Y,LABELS,tumor,cell.type,treatment,OE.B.cell,OE.CAF,OE.Endo.,OE.Macrophage,OE.NK,OE.T.CD4,OE.T.CD8,OE.T.cell,no.genes,log.no.reads
TYPE,numeric,numeric,group,group,group,group,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
cy94_cd45pos_A06_S102_comb,  4.917376506,  8.913822174,Mel94,Mel94,T.cell,ICR,-0.1575855931, 4.664956e-02,-1.231625e-01,-3.444566e-01,-1.228955e-01, 0.8342989934,-0.7123386488, 0.0292895580, 4587,12.676814
cy53_1_CD45_pos_2_A09_S969_comb, 14.639966163,  3.016436086,Mel53,Mel53,T.cell,TN,-0.5306421399,-6.982999e-02,-9.674413e-02,-1.143514e-01,-4.422730e-01, 0.8870155751,-0.1904674891, 0.6588951184, 5673,13.170984
cy80_CD45_neg_A05_S389_comb,  5.626739354,  5.102501867,Mel80,Mel80,T.CD4,TN,-0.6241614257,-1.046514e-01,-9.689630e-02,-1.155426e-01,-6.328784e-01, 0.7263402032,-0.0141692336, 0.8922909590, 3335,10.362683
cy80_CD45_neg_D03_S423_comb,-10.012954082, 31.366343182,Mel80,Mel80,T.cell,TN,-0.5823929594,-8.844312e-02,-9.335891e-02,-2.340198e-01, 6.135406e-01, 0.2323459378, 1.7004418219, 1.5250012430, 4558,12.236146
cy94_cd45pos_4_D01_S37_comb, 12.337767871, -2.087535911,Mel94,Mel94,T.cell,ICR,-0.1144649015,-1.015876e-01,-7.509735e-03,-3.042855e-01,-4.175352e-01, 0.4931586742, 0.4512765107, 0.7874618889, 5989,13.431321
cy60_1_cd_45_pos_3_D01_S325_comb, -1.641759092, -7.874919324,Mel60,Mel60,T.CD4,ICR,-0.2933284864,-2.281073e-02, 4.109561e-02,-1.967081e-01,-1.187747e-01, 0.6314572171,-0.7817289059,-0.0468553417, 3188,11.624717
cy82_CD45_pos_2_A07_S487_comb,-18.544198261,  9.219094738,Mel82,Mel82,T.CD8,TN,-0.1500731551, 8.726089e-02, 5.323989e-02,-1.989872e-01, 2.063517e-01,-0.1455202438, 0.4830954627, 0.4801623833, 2396,11.669775
CY89A_CD45_POS_6_G02_S170_comb,  2.216282178, 10.024066911,Mel89,Mel89,T.CD4,TN, 0.0082277746, 6.449175e-02, 5.640732e-03,-2.880614e-01,-2.095037e-01, 0.4748469838,-0.1003936851, 0.1091255768, 3646,11.935294
cy53_1_CD45_pos_1_F06_S66_comb,-37.309351960, -8.889094445,Mel53,Mel53,T.CD8,TN,-0.6747493464,-1.094772e-01,-1.647278e-01,-3.026760e-01, 1.876123e+00,-0.5984464360,-0.4267389276, 0.5066856459, 4106,11.425296
cy53_1_CD45_pos_1_G06_S78_comb,  7.616782795, 36.369339546,Mel53,Mel53,T.cell,TN,-0.7042318227,-1.221729e-01,-9.953614e-02,-4.597444e-01,-2.181679e-01, 0.0165061577, 0.0005042196,-0.0952053546, 6111,13.012899
CY88CD45_150813_E01_S337_comb, -9.932078611, 10.574944838,Mel88,Mel88,T.CD8,ICR,-0.2047191435, 6.451033e-02, 4.683037e-02,-1.594000e-01, 6.788827e-01,-0.0845393176, 0.6976321069, 0.7746326587, 3287,11.738985
cy53_1_CD45_pos_2_G05_S1037_comb,  6.841942687,-11.539290696,Mel53,Mel53,T.CD4,TN,-0.1654929142,-6.503073e-02, 9.258455e-02,-3.563519e-01, 6.323886e-02, 1.0973299808,-0.3727577910, 0.5988065663, 3569,11.469788
cy74_CD45_pos_E02_S722_comb,-16.079791526, 29.293772195,Mel74,Mel74,T.CD8,ICR,-0.4068710257, 1.048095e-02, 5.145182e-02,-1.298682e-01, 7.596851e-01,-0.3315885856, 2.0149154387, 0.8161675326, 3167,11.120401
CY94CD45POS_1_D09_S141_comb, 12.043156828, -9.807693912,Mel94,Mel94,T.cell,ICR,-0.1413540217,-2.449973e-02, 5.817264e-02,-1.725768e-01,-3.360318e-01, 1.5437277322,-0.4252472912, 0.7711432506, 4370,12.025959
cy58_1_CD45_pos_F03_S639_comb,-18.508771113, 12.576939013,Mel58,Mel58,T.CD8,ICR,-0.2377180975,-2.528289e-02,-4.542305e-02,-2.764130e-01, 7.037144e-01,-0.1310699031, 1.2392809570, 0.6949404063, 3927,11.700317
cy88_cd_45_pos_B07_S403_comb,  5.836020673,  8.036066050,Mel88,Mel88,T.CD8,ICR,-0.3462853812, 2.327525e-02,-4.536237e-02,-4.233610e-01,-3.872632e-01, 0.5289713713,-0.4977066022,-0.0138759630, 2671,10.258396
cy88_cd45pos_5_F05_S257_comb, -7.872968935, 11.464403459,Mel88,Mel88,T.cell,ICR,-0.3560755033,-9.641465e-02,-1.940751e-02,-2.185322e-01, 2.625297e-01, 0.0174526526, 1.1018778824, 0.9069007475, 4964,13.641877
CY89A_Core_15_G06_S78_comb,-19.032485048, 20.524290997,Mel89,Mel89,T.CD8,TN,-0.1517391085,-3.858637e-02,-6.782796e-02,-1.655637e-01, 3.560879e-01,-0.1198231484, 1.6621967511, 0.8369810289, 3923,12.079460
CY88CD45POS_7_D05_S233_comb,  1.721026622,  7.665617088,Mel88,Mel88,T.CD4,ICR,-0.3864908158, 3.866847e-02, 2.418218e-02,-1.589386e-01,-2.295222e-01, 1.2656800554, 0.1235347426, 0.6058853444, 4729,13.153800
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_F09_S453_comb,-17.569912641,  7.626214246,Mel79,Mel79,T.CD8,TN,-0.3435966860,-2.710878e-02,-3.211540e-02,-1.803229e-01,-5.537987e-02,-0.1839610740, 1.2403210438, 0.5371661338, 2545,10.390563
cy94_cd45pos_4_H02_S86_comb,-19.644274227, -0.534306538,Mel94,Mel94,T.cell,ICR,-0.0235598845,-2.345550e-02,-8.984919e-03,-2.181673e-01, 7.793149e-01,-0.1535476169, 0.1065149256, 0.5689436399, 4188,12.608908
cy53_1_CD45_neg_D02_S326_comb,-30.480342746, -3.406933332,Mel53,Mel53,T.CD8,TN,-0.4994028671,-8.293116e-02,-8.882202e-02,-3.268255e-01, 9.898377e-01, 0.3924507416, 0.3004894607, 0.9526579774, 3951,11.405908
cy80_CD45_pos_PD1_pos_A06_S102_comb, 15.558697632,  5.037944702,Mel80,Mel80,T.CD4,TN,-0.4823844643,-6.000832e-02, 3.221992e-02,-2.896022e-01,-7.702855e-01, 1.0730401095, 0.5384426990, 0.7361431828, 4318,11.808598
cy84_Primary_CD45_pos_H02_S470_comb,-13.544674691,-17.330486820,Mel84,Mel84,T.CD4,TN,-0.1677829454,-3.878284e-02,-2.150561e-03,-2.712064e-01,-6.231897e-01, 0.4986628868, 0.2179683137, 0.4695053902, 3526,11.826933
CY88CD45_150813_E03_S339_comb,  1.019356659,  9.716026675,Mel88,Mel88,T.CD8,ICR,-0.1453356086, 1.075477e-01,-5.130150e-02,-2.994144e-01,-2.057883e-01, 0.8298303053, 0.3277777154, 0.2794217920, 4419,13.323006
CY88CD45_150813_E06_S342_comb,  0.949435527,  9.375672530,Mel88,Mel88,T.cell,ICR, 0.1647630280, 1.585713e-01, 6.107529e-02,-7.859347e-02,-3.002648e-01, 0.5703262748,-0.1741952696,-0.1028851402, 2839,12.082729
cy58_1_CD45_pos_C09_S609_comb,-25.927973900,  0.190149321,Mel58,Mel58,T.CD8,ICR,-0.2455128954,-9.308615e-03,-3.312764e-02,-2.672526e-01, 5.000246e-01,-0.4263009523, 0.0767977514, 0.4386510198, 3832,10.992470
cy60_1_cd_45_pos_3_A02_S290_comb, -8.240113676, 35.151807150,Mel60,Mel60,T.CD8,ICR,-0.7969625353,-6.764429e-02,-8.235912e-02,-3.737506e-01, 9.674060e-01,-0.4374484863, 0.3160629496, 0.3625848812, 3326,11.626424
CY89A_CD45_POS_10_H07_S283_comb, 18.344032697,  3.063479490,Mel89,Mel89,T.CD4,TN,-0.3003219493,-1.630142e-02,-3.297489e-02,-2.002936e-01,-1.751392e-01, 1.3865178241,-0.4341598791,-0.0599382553, 3302,10.939852
cy80_Cd45_pos_PD1_pos_S137_F05_S137_comb,-30.819132323, 14.399105210,Mel80,Mel80,T.cell,TN,-0.4247195342,-1.322500e-01,-2.320686e-02,-3.639554e-01, 1.312011e+00,-0.4231332853, 0.9695850419, 0.8412401997, 4581,11.662173
cy79_p4_CD45_pos_PD1_pos_E09_S345_comb,  9.119422481, -1.249962448,Mel79,Mel79,T.cell,TN,-0.1398014002,-2.590907e-02, 6.617722e-02,-1.861975e-01,-5.783512e-01, 0.2414655521, 0.1918693427,-0.2976392425, 3561,11.976722
cy84_Primary_CD45_pos_B11_S407_comb, -3.185098832, -3.381625037,Mel84,Mel84,T.CD4,TN,-0.2372117163,-6.180427e-02, 1.424433e-02,-2.977794e-01, 6.691025e-02, 1.0589671855,-0.0519538642, 1.0796985915, 3781,11.854549
cy80_CD45_pos_PD1_pos_H03_S183_comb, -0.169567651,  1.802447320,Mel80,Mel80,T.CD4,TN, 0.0307486073,-2.893277e-02,-3.038678e-02,-2.709562e-01,-3.134173e-01, 0.8030915798, 0.4021824274, 0.9632381196, 2732,10.963480
cy80_Cd45_pos_Pd1_neg_S340_G04_S340_comb,  3.924070256,-19.947716211,Mel80,Mel80,T.CD4,TN,-0.2255889016, 2.113773e-02, 7.455782e-03,-2.129487e-01,-4.402343e-01, 1.1682437953,-0.5614035719, 0.3087519428, 2690,10.131818
cy79_p5_CD45_pos_PD1_pos_G05_S653_comb,-19.438378888, 13.695617527,Mel79,Mel79,T.CD8,TN,-0.1974802507, 2.914963e-02,-7.012129e-02,-2.405729e-01, 7.569434e-02, 0.2121365945, 1.0865993497, 0.7731445052, 2652,10.743545
cy88_cd_45_pos_C09_S417_comb,-10.172025112,  4.080067169,Mel88,Mel88,T.CD4,ICR,-0.1659035925,-4.651791e-03,-4.544598e-02,-2.532227e-01,-2.151528e-01, 1.0850770510, 0.0319475945, 0.6362124467, 2855,11.283147
CY88CD45_150813_G02_S362_comb,  4.901397350,  6.897291064,Mel88,Mel88,T.cell,ICR,-0.1478413396,-7.904713e-02, 3.985912e-03,-2.813083e-01,-4.719564e-01, 0.5119522304,-0.0666774305, 0.4028255506, 4476,12.948165
Cy74_CD45_B03_S399_comb, -3.714202187,-11.541482512,Mel74,Mel74,T.cell,ICR,-0.2256684242,-1.871682e-02, 2.288286e-02,-1.084376e-01,-1.668102e-01, 0.7413432445,-0.0923064866, 0.7814035604, 2542,11.171857
Cy74_CD45_F08_S452_comb,-18.748765390, 17.543209976,Mel74,Mel74,T.CD8,ICR,-0.5303324114, 4.406705e-02, 2.360569e-02,-1.179799e-01, 1.241848e+00,-0.6387902423, 1.9513068161, 0.9125838544, 2873,11.828794
cy80_Cd45_pos_Pd1_neg_S224_B08_S224_comb,-31.529970116, -2.933532920,Mel80,Mel80,T.CD8,TN,-0.3615852266,-1.159420e-01,-1.165678e-01,-4.007141e-01, 5.395386e-01,-0.3227178136, 0.7246551524, 1.1171188798, 4464,11.691490
cy79_p5_CD45_pos_PD1_pos_H07_S667_comb,-13.720590957, 25.954725405,Mel79,Mel79,T.CD8,TN,-0.4118461620,-1.635023e-02, 5.497991e-03,-1.391981e-01, 2.003752e-01,-0.4274859998, 1.6745017197, 0.9379712454, 2513,10.354022
CY89A_CD45_POS_6_B08_S116_comb,-22.389542186, 19.294784188,Mel89,Mel89,T.CD8,TN,-0.0813930032, 1.832955e-02,-4.896412e-02,-3.050023e-01, 7.230264e-01, 0.2839201687, 1.6498099572, 0.6683175216, 3371,11.729487
CY89A_CD45_POS_6_B02_S110_comb,-11.074636653, 16.368105925,Mel89,Mel89,T.CD8,TN,-0.3182276881,-3.976339e-02,-4.341500e-02,-2.503925e-01, 5.264326e-01, 0.0819145946, 0.7531248112, 0.8825277563, 4199,12.306072
Cy72_CD45_D01_S709_comb,-12.698490298,-18.566281770,Mel72,Mel72,T.cell,ICR, 0.0397714255, 1.497607e-05, 5.690779e-02,-2.736838e-01,-3.051573e-01, 1.1296835747, 0.5029610034, 0.7165127988, 2851,10.947397
CY89A_CD45_POS_6_G03_S171_comb,  7.325882457,-10.796248960,Mel89,Mel89,T.cell,TN,-0.2491351980, 4.010908e-02,-3.180833e-02,-2.139402e-01,-3.429457e-01, 0.8765793881,-0.2680267972, 0.2984034218, 3404,11.624789
Cy74_CD45_G01_S457_comb, -1.845957816, -3.835141568,Mel74,Mel74,T.cell,ICR,-0.4649829875, 4.003971e-03,-3.751065e-02,-1.004151e-01, 4.414519e-01, 0.8786819934,-0.4246139117, 0.6527505327, 2790,11.388416
cy88_cd_45_pos_C07_S415_comb, -8.970528782, 10.187964196,Mel88,Mel88,T.CD8,ICR,-0.4897954693,-3.221540e-02, 3.807248e-02,-4.229688e-01, 5.753380e-01,-0.3866542229, 0.3589937625, 0.7079007942, 3167,11.244052
Cy74_CD45_F02_S446_comb,-32.711805888,  4.109608414,Mel74,Mel74,T.CD8,ICR,-0.4260214706, 6.044723e-02,-4.512921e-02,-2.202926e-01, 6.290897e-01, 0.0624582464, 0.2872302143, 0.4669456033, 2699,11.467939
Cy81_FNA_CD45_B08_S212_comb,-12.767617967,-19.038242598,Mel81,Mel81,T.cell,TN, 0.1078386905, 5.457543e-02, 1.095257e-01,-2.004964e-01, 7.088426e-02, 0.0831833933,-0.3598293245, 0.1325494469, 2481,11.981778
Cy71_CD45_D12_S528_comb,-21.699566128,  0.301153429,Mel71,Mel71,T.CD8,TN,-0.2736646502, 1.221236e-02,-4.276659e-02,-1.416757e-01, 5.826368e-01, 0.0059765782, 0.5758885075, 0.7555458961, 2955,11.561211
cy79_p3_CD45_pos_PD1_neg_F09_S165_comb,  1.764784331,-18.483002567,Mel79,Mel79,T.CD4,TN,-0.2789631538,-3.915698e-02, 7.362260e-02,-2.134324e-01,-3.412029e-01, 1.1735499417,-0.6159575205, 0.3617154488, 2426,10.051821
cy74_CD45_pos_G11_S755_comb,-12.590739461, 37.409637178,Mel74,Mel74,T.CD8,ICR,-0.5041306931,-4.436282e-02,-5.513633e-02,-2.582069e-01, 1.398477e+00, 0.0667493959, 0.6991988595, 0.7874939537, 3415,10.816031
cy72_CD45_pos_C07_S895_comb,  8.972280935,-14.687637139,Mel72,Mel72,T.CD4,ICR,-0.1478482517,-3.350740e-02, 1.079019e-02,-3.319056e-01,-3.540545e-01, 1.1120142260,-0.2983233152, 0.5009580003, 4447,12.412818
cy80_Cd45_pos_PD1_pos_A09_S21_comb,  9.609785602, -7.014505318,Mel80,Mel80,T.cell,TN, 0.0172265541,-1.114701e-01,-8.568541e-02,-3.872984e-01,-4.971719e-01, 1.0918730583,-0.2859241172, 0.6150589155, 4973,12.080662
cy88_cd_45_pos_E01_S433_comb, -3.957339574, 12.988418866,Mel88,Mel88,T.CD8,ICR,-0.3230353389,-4.368315e-03,-2.617072e-02,-2.217305e-01,-7.441001e-02, 0.2633691563,-0.0318064961, 0.3685680054, 2647,10.795609
cy58_1_CD45_pos_G09_S657_comb,-21.712884525,  8.391011694,Mel58,Mel58,T.CD8,ICR,-0.3679981872,-6.788749e-02,-6.044218e-02,-2.318045e-01, 6.409666e-01,-0.1356094908, 1.0970559020, 0.6579155781, 4160,11.424061
cy60_1_cd_45_pos_4_E09_S57_comb,  6.594290426, -0.154493179,Mel60,Mel60,T.CD4,ICR,-0.2967657900,-4.473127e-03,-6.594657e-02, 3.059424e-02,-3.401907e-01, 0.6942082326,-0.2730213484, 0.9302556020, 3517,11.715866
CY94CD45POS_1_E12_S156_comb,  2.206803544,-19.053989501,Mel94,Mel94,T.CD4,ICR,-0.1531916431, 1.572063e-02,-2.051317e-02,-1.726031e-01,-5.938469e-01, 0.8831498154,-0.4443913327, 0.2030436116, 4003,12.320824
cy79_p5_CD45_pos_PD1_pos_D03_S615_comb, -3.903815816, 19.217926124,Mel79,Mel79,T.CD8,TN,-0.0778627631,-4.444044e-02,-7.026322e-03,-1.959101e-01, 1.771899e-01, 0.8035262024, 1.7414051547, 0.5432608347, 2625,10.429635
cy58_1_CD45_pos_B07_S595_comb,  7.755201623,-11.651864614,Mel58,Mel58,T.CD4,ICR,-0.1362595575, 1.074344e-02, 1.592445e-02,-2.974692e-01,-4.794873e-01, 0.8910928849,-0.0980362048, 0.3619675011, 2462, 9.773265
cy58_1_CD45_pos_D03_S615_comb, -9.825124143,-20.908341417,Mel58,Mel58,T.cell,ICR, 0.0174215496,-6.042252e-02,-3.414787e-02,-2.928020e-01,-1.525684e-01, 0.6356779660,-0.6401538969,-0.2402572766, 3242,10.753297
cy72_CD45_pos_D10_S910_comb, -4.814578851,-15.719211082,Mel72,Mel72,T.CD4,ICR, 0.0577215419,-1.994745e-02,-1.402984e-02,-2.507133e-01,-2.888755e-01, 1.0879173280,-0.3375012194, 0.2612972657, 2525,10.494574
cy82_CD45_pos_2_A05_S485_comb, 14.461936093,  3.162570251,Mel82,Mel82,T.CD4,TN,-0.6341531005,-9.563970e-02,-9.005754e-02,-1.869776e-01,-4.336722e-01, 0.7541055702,-0.0333701069, 0.6758491823, 4299,12.145138
cy60_1_cd_45_pos_3_G04_S364_comb,  3.231199997,  3.539121588,Mel60,Mel60,T.cell,ICR,-0.1955252214,-1.011202e-01,-1.427751e-01,-2.531797e-01,-7.017238e-01, 1.3759955961,-0.5775720363, 0.4738766260, 3596,11.665492
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_G11_S275_comb, -4.164015387, 21.118319365,Mel79,Mel79,T.CD8,TN,-0.1246766066,-5.157592e-02,-9.469076e-02,-2.405353e-01, 3.766068e-01,-0.0451065052, 1.2618938284, 0.7187774694, 2599, 9.507552
cy80_Cd45_pos_PD1_pos_S135_F03_S135_comb, -5.128465264, 14.187903357,Mel80,Mel80,T.CD8,TN,-0.5275433195,-1.608874e-01,-1.401747e-01,-4.474966e-01,-1.133130e-01, 0.1010999024, 0.7339959589, 1.0108767350, 5400,12.185089
cy60_1_cd_45_pos_4_C10_S34_comb,  3.487546007,-18.832846407,Mel60,Mel60,T.CD4,ICR,-0.3561135678,-3.842521e-02,-3.513210e-02,-2.819208e-01,-3.422063e-01, 1.6240643636,-0.6158657357, 0.4177576657, 2770,10.760198
cy74_CD45_pos_C03_S699_comb, -5.108875757, -4.999321275,Mel74,Mel74,T.CD8,ICR,-0.1103530663,-5.333314e-02,-9.727786e-02,-2.344131e-01, 3.071815e-01, 0.3393445729,-0.0111996817, 0.6223476233, 1965, 9.464672
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_A10_S202_comb,-17.405397383, 20.372007057,Mel79,Mel79,T.CD8,TN,-0.4655064017,-6.101965e-02,-7.503339e-02,-1.630255e-01, 1.136174e-01,-0.0397206316, 2.0189322225, 1.4693816320, 2352, 9.390242
cy88_cd_45_pos_G02_S458_comb, -9.152390099,  7.303021338,Mel88,Mel88,T.CD4,ICR,-0.5184191488,-1.061242e-01, 4.734629e-03,-4.316100e-01,-3.504954e-01, 0.8436755210, 0.6040278847, 0.9835745927, 2646,10.613172
cy58_1_CD45_pos_C11_S611_comb,-15.616631545,-13.134471715,Mel58,Mel58,T.CD4,ICR,-0.3293474100, 6.706710e-03,-1.061920e-01,-1.918741e-01,-2.426849e-01, 0.9138105706, 0.2634460352, 0.5106501724, 3061,10.338803
cy60_1_cd_45_pos_4_E02_S50_comb,  5.976350584, -0.758214569,Mel60,Mel60,T.CD8,ICR,-0.5553295663,-7.605678e-02,-8.996114e-02,-1.162543e-01,-2.481356e-01, 0.5809958505, 0.1243697507, 0.9087932981, 3082,11.315145
cy58_1_CD45_pos_G04_S652_comb, 13.031564585,  0.677695452,Mel58,Mel58,T.CD4,ICR,-0.4640373213,-8.939671e-02,-6.032405e-02,-2.424114e-01,-1.443763e-01, 0.9477862923,-0.0107290246, 0.2904165076, 2689, 9.498672
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_C07_S223_comb,-18.891484292, 16.039602676,Mel79,Mel79,T.CD8,TN,-0.3077631644,-1.696133e-02,-1.154154e-02,-6.435198e-02, 8.772341e-02, 0.3550399808, 1.3761882998, 0.6971341093, 2058, 9.495670
cy94_cd45pos_A10_S106_comb, -3.520870136,-12.937986987,Mel94,Mel94,T.CD8,ICR,-0.1602380967, 2.668086e-02,-1.379167e-02,-3.306437e-01, 2.462744e-01, 0.8194055669,-0.1262938497, 0.0911330613, 4270,12.896654
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_F10_S262_comb,-17.765713782, 20.901337344,Mel79,Mel79,T.CD8,TN,-0.4752433484,-3.594991e-02,-8.313041e-02,-1.806365e-01, 1.486631e-02,-0.4484790699, 1.6372059688, 0.8417793573, 2709,10.309919
cy88_cd_45_pos_H10_S478_comb,  5.127015571,  5.239533591,Mel88,Mel88,T.cell,ICR,-0.1212159392,-2.351646e-02,-1.519298e-02,-1.746043e-01,-6.835824e-01, 0.4831939996, 0.1844735411, 0.0226551639, 3161,11.136121
cy88_cd45pos_5_C03_S219_comb,  4.314916492,  9.955362705,Mel88,Mel88,T.CD4,ICR,-0.3057226530, 3.299967e-03,-1.773038e-02,-2.967495e-01,-5.228398e-01, 0.9962233409,-0.7115703983, 0.0369038949, 5051,13.709871
CY89A_Core_15_C08_S32_comb,  0.508931131,-15.712869249,Mel89,Mel89,T.cell,TN, 0.0729745501,-1.080169e-02, 5.803910e-02,-2.609262e-01,-4.901066e-01, 1.0435051927,-0.4735392044, 0.2422425611, 2968,11.203461
Cy74_CD45_H06_S474_comb,-11.127154712, 22.277519876,Mel74,Mel74,T.CD8,ICR,-0.4585759061,-3.151151e-02,-5.095202e-02,-2.658364e-01,-7.285016e-03,-0.4441818601, 1.0539308885,-0.1127557695, 3050,11.863413
CY89A_Core_15_C09_S33_comb,-28.841654879,  9.898704095,Mel89,Mel89,T.CD8,TN,-0.2147677993,-7.227455e-02,-9.785611e-02,-2.536969e-01, 7.606005e-01,-0.3539649466, 0.9847636715, 0.7601035796, 2976,11.054566
cy80_Cd45_pos_PD1_pos_B01_S37_comb, -7.992008066, 34.690486869,Mel80,Mel80,T.CD8,TN,-0.9115338071,-1.501736e-01,-2.031783e-01,-3.500638e-01, 4.254684e-01,-0.6541512259, 0.0356604165, 0.5021485863, 6049,12.748214
Cy72_CD45_H06_S762_comb, -5.822314922,-20.184435513,Mel72,Mel72,T.cell,ICR,-0.0767411335,-2.888012e-02, 8.692244e-02,-1.670045e-01, 1.524641e-02, 0.9417752227,-0.3983680490, 0.0311044396, 2898,11.659084
cy80_CD45_neg_E04_S436_comb, -9.563873725,-12.838953013,Mel80,Mel80,T.CD4,TN,-0.1705695909,-1.523384e-02,-4.518851e-02,-1.071581e-01,-4.667402e-01, 0.7058689226,-0.5772270277, 0.6110142776, 3199,11.978570
cy58_1_CD45_pos_H08_S668_comb, -8.219701821, -2.989159656,Mel58,Mel58,T.CD4,ICR,-0.0581133319,-4.284215e-02,-6.296772e-02,-3.113624e-01,-3.097315e-01,-0.1028422763,-0.3102423581, 0.0766628582, 4487,12.061561
cy94_cd45neg_cd90pos_D02_S326_comb,  6.949135880,  9.907199869,Mel94,Mel94,T.CD4,ICR,-0.1908888325,-1.732177e-01,-1.235563e-01,-3.315868e-01,-2.416698e-01, 0.8754586318,-0.6102649583, 0.3172977471, 8482,12.143532
CY89A_CD45_POS_6_D02_S134_comb,-24.920444600,  9.612291038,Mel89,Mel89,T.CD8,TN,-0.6094419066,-2.540976e-02,-1.219961e-01,-1.405678e-01, 5.853738e-01,-0.2287821270, 0.7593462357, 0.2884231918, 3281,11.339215
CY88CD45POS_2_D03_S423_comb,  3.643260820, 10.269800066,Mel88,Mel88,T.CD4,ICR,-0.2273792085, 2.334105e-02, 6.852531e-03,-1.933386e-01,-5.010938e-01, 0.4631763259,-0.0561525558, 0.3057988794, 4131,13.239600
cy72_CD45_pos_D07_S907_comb,  1.386258531,-18.551272636,Mel72,Mel72,T.CD4,ICR,-0.2854540884,-1.736007e-02, 7.722183e-03,-2.999961e-01,-3.914982e-01, 1.5848822463,-0.1141873509, 0.6881025402, 3721,11.455042
CY88CD45_150813_G07_S367_comb,  8.818398001, 14.004559114,Mel88,Mel88,T.CD4,ICR,-0.1233814167,-4.576732e-02,-2.043299e-02,-6.330094e-02,-5.584676e-01, 0.8499575628,-0.2979873584,-0.0457675631, 5518,12.105595
cy79_p5_CD45_pos_PD1_pos_C07_S607_comb, 12.982722885,-12.564974229,Mel79,Mel79,T.cell,TN,-0.3610607868,-2.725449e-02,-2.410160e-02,-2.117425e-01,-1.322078e-01, 1.0674578429,-0.1147265556, 0.6554560003, 4105,12.424180
cy84_Primary_CD45_pos_E04_S436_comb, -7.771602582,-19.563486347,Mel84,Mel84,T.cell,TN,-0.3691211251, 1.226428e-02,-1.166224e-01,-3.187785e-01,-2.660507e-01, 0.9623804420,-0.4376109599, 0.1449781012, 3661,12.207072
CY84_PRIM_POS_ALL_7_B11_S215_comb,-17.174926600,  1.860393570,Mel84,Mel84,T.CD8,TN,-0.1978583682,-7.279806e-03,-2.021365e-02,-1.488515e-01, 6.507243e-01, 0.4713942221, 0.7086930860, 1.3667721887, 3209,12.223913
cy74_CD45_pos_C07_S703_comb,-12.161442323, 30.366179639,Mel74,Mel74,T.CD8,ICR,-0.7426719813,-4.892825e-02,-8.560863e-02,-2.744164e-01, 6.296858e-02,-0.5307755851, 1.5581642846, 0.5587314132, 3849,11.525605
cy80_Cd45_pos_PD1_pos_S140_F08_S140_comb,-30.493410111,  1.603397633,Mel80,Mel80,T.CD8,TN,-0.3866317787,-1.538207e-01,-4.747742e-02,-2.951115e-01, 6.654604e-01,-0.4921135807, 0.3536450268, 0.7090878099, 4916,11.754365
cy60_1_cd_45_pos_3_H04_S376_comb,-32.983234054,  5.430051441,Mel60,Mel60,T.CD8,ICR,-0.5146956078, 7.435425e-03,-3.701442e-02,-1.944017e-01, 9.354899e-01,-0.2540989937, 0.5728972228, 0.9211825933, 2797,11.245412
cy79_p4_CD45_pos_PD1_pos_E07_S343_comb,-17.699172418, 10.836374209,Mel79,Mel79,T.CD8,TN,-0.3948613482, 6.160205e-02,-1.921434e-02,-1.919220e-01, 3.801407e-01, 0.0284390053, 1.6906005150, 1.1344329078, 3273,11.951471
cy82_CD45_pos_1_F08_S548_comb,-10.298491045,-19.315503216,Mel82,Mel82,T.cell,TN, 0.0617389534, 5.858869e-02, 2.122603e-02,-5.157081e-02, 3.049022e-01, 0.1383017327,-0.1619845288,-0.0245295743, 2985,11.870068
CY75_1FNA_F01_S541_comb,-12.673976045,  5.676167085,Mel75,Mel75,T.CD4,ICR,-0.5960525060,-5.289749e-02, 1.185874e-03,-2.617444e-01, 5.629600e-02, 0.9264721235, 1.1625629391, 1.2323472245, 3472,11.185560
cy80_CD45_neg_H03_S471_comb, 10.274797904,  0.135407595,Mel80,Mel80,T.CD4,TN,-0.2336003832,-3.357632e-02, 3.847154e-02,-1.365799e-01,-5.285838e-01, 1.1648132640,-0.2513438813, 0.5263844876, 4114,12.160950
cy80_CD45_neg_G01_S457_comb,-19.326631866,  1.492300531,Mel80,Mel80,T.CD8,TN,-0.3595114238,-2.055368e-03, 7.485667e-05,-6.284934e-02, 7.387715e-01, 0.9235413062, 0.3936415656, 0.8792890044, 2966,11.539266
CY89A_Core_15_H12_S96_comb, -3.888517969,-21.918342896,Mel89,Mel89,T.cell,TN,-0.0953097304,-3.650858e-03,-3.601532e-02,-2.069696e-01,-3.463396e-01, 1.2209168786,-0.3866696440, 0.0506110670, 3262,11.742480
