Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17
NAME,X,Y,LABELS,tumor,cell.type,treatment,OE.B.cell,OE.CAF,OE.Endo.,OE.Macrophage,OE.NK,OE.T.CD4,OE.T.CD8,OE.T.cell,no.genes,log.no.reads
TYPE,numeric,numeric,group,group,group,group,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
cy58_1_CD45_pos_F12_S648_comb,  8.256976638, -9.584283042,Mel58,Mel58,T.CD4,ICR,-0.4626488837,-4.245645e-02,-1.643218e-02,-1.807087e-01,-3.268121e-01, 1.2356056230,-0.2722314640, 0.7280141467, 5008,12.417646
cy79_p5_CD45_pos_PD1_pos_C10_S610_comb,-17.475568438, 18.108996105,Mel79,Mel79,T.CD8,TN,-0.3732017776,-2.765304e-02, 1.029914e-01,-1.344450e-01, 4.565280e-01, 0.1402178344, 1.4499618911, 1.2589340882, 3180,11.614877
cy74_CD45_pos_E12_S732_comb,-11.075577296,  1.532209423,Mel74,Mel74,T.CD8,ICR,-0.2531148773,-1.836666e-02, 7.162079e-03,-2.149797e-01, 2.367314e-01, 0.2499459321, 0.1222968759, 0.3630236370, 2790,10.880685
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_G01_S265_comb,-12.463003268,-17.853257024,Mel79,Mel79,T.CD4,TN,-0.2988466000,-7.033826e-02,-1.073612e-02,-2.245134e-01,-7.259819e-02, 1.5028797786,-0.0229812707, 0.3731858517, 2533, 9.955463
cy60_1_cd_45_pos_4_B10_S22_comb, -0.853666431, -6.548818221,Mel60,Mel60,T.CD4,ICR,-0.1128911262, 2.111119e-02,-9.285863e-02,-1.252866e-01, 4.722398e-01, 0.8379936299,-0.2524041327, 0.6198572831, 2579,10.759922
CY88CD45_150813_E07_S343_comb,  8.926454482, 10.676261561,Mel88,Mel88,T.CD8,ICR,-0.5279932364, 1.576465e-01, 1.983534e-02,-3.348931e-01, 1.086299e+00,-0.3146398853, 0.9143913585, 0.8320920451, 4647,12.856584
cy72_CD45_pos_B07_S883_comb, 10.021310246,-15.555039515,Mel72,Mel72,T.CD4,ICR,-0.4628507055,-7.044968e-02,-8.368628e-02,-2.787115e-01,-2.210331e-01, 0.8378834572,-0.8674383873,-0.1824125048, 4232,11.893661
CY88CD45POS_2_E03_S435_comb, -2.882650146, 22.202344132,Mel88,Mel88,T.CD8,ICR,-0.5175517251,-5.719531e-02,-1.482152e-02,-2.417929e-01, 1.442334e+00,-0.2265336031, 0.5973835568, 0.9230880784, 3477,11.821865
Cy74_CD45_A03_S387_comb,-23.313136292, 20.301966028,Mel74,Mel74,T.CD8,ICR,-0.5885509788, 2.663070e-02,-5.850991e-02, 3.630760e-02, 7.326122e-01,-0.5012153462, 1.6552213384, 0.5680086391, 2563,11.748219
CY89A_CD45_POS_10_B02_S206_comb,  4.082302607,-14.173931758,Mel89,Mel89,T.CD4,TN, 0.0205651023,-3.992617e-03, 3.542883e-02,-2.337679e-01,-2.626409e-01, 0.7550957152,-0.4478562173, 0.4448414407, 2650,11.032952
CY89A_CD45_POS_10_H05_S281_comb,-12.408344640, 11.036514011,Mel89,Mel89,T.CD8,TN,-0.3720816829,-2.808767e-02,-5.463209e-02,-2.400780e-01, 4.798930e-01, 0.6505210186, 1.5398339404, 0.9344342093, 2441,10.138362
Cy74_CD45_F09_S453_comb,-21.779329103,  2.358315328,Mel74,Mel74,T.cell,ICR,-0.3962900173, 1.157248e-02,-8.445836e-02,-2.557952e-01, 4.409375e-01, 0.2429112821, 0.5971068360, 0.3078852217, 2682,11.576426
cy53_1_CD45_pos_2_F05_S1025_comb,-11.194260890,-15.461891006,Mel53,Mel53,T.CD4,TN,-0.1843908886,-3.704748e-02,-6.009323e-02,-1.776576e-01,-6.401936e-02, 0.4589608951,-0.6990904435, 0.3886855940, 3819,11.386012
cy80_CD45_neg_A09_S393_comb,-10.257614831,  9.028120635,Mel80,Mel80,T.cell,TN,-0.2967385803,-9.350129e-02,-1.520476e-02,-2.340396e-01, 1.618915e-01, 0.7122804113, 1.1525310352, 0.7007095094, 4827,12.473157
CY58_1_CD45_D03_S999_comb, -6.202014451,-11.740640283,Mel58,Mel58,T.CD4,ICR,-0.3247140458, 4.612989e-03, 5.654761e-02,-3.322181e-01,-2.747694e-01, 0.9430749758, 0.2709336817, 0.4970942893, 3027,11.476054
cy84_Primary_CD45_pos_C05_S413_comb,-24.923427681, 21.764427355,Mel84,Mel84,T.CD8,TN,-0.6574694100,-1.168686e-01,-9.422054e-02,-8.318279e-02, 4.768003e-01, 0.0041824320, 1.7633716284, 1.2615300939, 2315, 9.802174
cy60_1_cd_45_pos_4_A06_S6_comb, -5.731787321,-11.539231683,Mel60,Mel60,T.cell,ICR, 0.0002803944, 1.656252e-03, 1.102029e-01,-1.031773e-01,-1.170013e-01, 0.8137359047,-0.0366934332, 1.0718194026, 2505,10.646829
CY89COREQ1_A04_S292_comb,-10.802827601,  0.921909778,Mel89,Mel89,T.CD4,TN,-0.3685169138,-4.600013e-02, 2.010484e-02,-3.617020e-01, 4.353635e-01, 0.1936788212, 0.8657819033, 0.6468221057, 4049,11.952882
cy79_p5_CD45_pos_PD1_pos_C01_S601_comb,-15.168795195, 29.828462396,Mel79,Mel79,T.CD8,TN,-0.4974697849,-3.588368e-02,-5.998999e-02,-2.774271e-01, 6.146080e-03,-0.3310504020, 1.6520265161, 0.6348148180, 4729,12.814743
CY89A_CD45_POS_6_B03_S111_comb, -1.649775409,-20.567425588,Mel89,Mel89,T.cell,TN,-0.0960365989, 4.677093e-02,-1.715006e-02,-2.462056e-01,-2.225080e-01, 0.8754839960,-0.1312915825, 0.2480030165, 2631,10.991157
cy60_1_cd_45_pos_4_G12_S84_comb, -0.596287518,-15.065761702,Mel60,Mel60,T.CD4,ICR,-0.2925882003, 1.449521e-02,-3.420425e-03,-1.578710e-01,-3.849603e-01, 0.9713739657,-0.7111116685,-0.0271541915, 3147,11.507521
