Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
NAME,X,Y,LABELS,tumor,treatment,Immune_resistance,Immune_resistance.up,Immune_resistance.down,OE.Immune_resistance,OE.Immune_resistance.up,OE.Immune_resistance.down,no.genes,log.no.reads
TYPE,numeric,numeric,group,group,group,group,group,group,numeric,numeric,numeric,numeric,numeric
cy103_CD45neg_CD90neg_S99, -3.77060992,-17.16746727,Mel103,Mel103,TN,low,low,high,-0.531790891,-0.210881188, 0.3209097035, 2044,12.294779
cy102_CD45neg_CD90neg_S83,-21.92078761,  5.95834723,Mel102,Mel102,ICR,high,high,low, 1.310610543, 0.617499604,-0.6931109386, 7628,13.536269
cy110_CD45neg_CD90neg_S194, -8.15073335, 22.70878519,Mel110,Mel110,ICR,high,high,low, 2.306475778, 0.894808349,-1.4116674294,10278,14.188039
cy110_CD45neg_CD90neg_S237, -7.04183842, 23.79519014,Mel110,Mel110,ICR,high,high,low, 2.628648563, 0.983971688,-1.6446768757, 9844,14.312373
cy102_CD45neg_CD90neg_S84,-26.20125803,  4.10201005,Mel102,Mel102,ICR,high,high,low, 2.284145896, 1.199084901,-1.0850609945, 7080,13.749243
cy102_CD45neg_CD90neg_S40,-25.78410776,  8.74945192,Mel102,Mel102,ICR,high,high,low, 2.278071627, 0.967972577,-1.3100990500, 7390,13.577417
cy103_CD45neg_CD90neg_S163, -4.64154760,-20.45634727,Mel103,Mel103,TN,high,high,high, 0.244753512, 0.118280785,-0.1264727271, 2787,12.967065
cy103_CD45neg_CD90neg_S178,  1.33345902,-11.17187629,Mel103,Mel103,TN,low,high,high, 0.135076714, 0.285519043, 0.1504423283, 7274,14.049186
cy103_CD45neg_CD90neg_S130, -0.79344221,-10.46078020,Mel103,Mel103,TN,low,high,high,-0.398834527, 0.136606807, 0.5354413342, 5426,13.310985
cy103_CD45neg_CD90neg_S168,  0.46132106,-10.88535692,Mel103,Mel103,TN,high,high,low, 0.368216548, 0.154584176,-0.2136323722, 8851,14.205705
cy103_CD45neg_CD90neg_S184,  2.30942281, -8.47031260,Mel103,Mel103,TN,high,high,high, 0.319514727, 0.484831855, 0.1653171284, 4898,13.160634
cy103_CD45neg_CD90neg_S100, -2.98866927,-19.20622890,Mel103,Mel103,TN,low,low,high,-0.560417272,-0.372497806, 0.1879194668, 2581,12.639766
cy102_CD45neg_CD90neg_S95,-23.88119357,  6.76875201,Mel102,Mel102,ICR,high,high,low, 1.284538869, 0.549721114,-0.7348177550, 7493,13.696772
cy110_CD45neg_CD90neg_S223, -7.55391356, 22.74842343,Mel110,Mel110,ICR,high,high,low, 2.183587643, 0.804419766,-1.3791678768, 9644,14.000295
cy103_CD45neg_CD90neg_S189,  1.13465977,-11.52977166,Mel103,Mel103,TN,low,low,high,-0.145832200, 0.033742694, 0.1795748940, 5567,13.520085
cy103_CD45neg_CD90neg_S137,  2.06370739,-10.09302213,Mel103,Mel103,TN,low,low,high, 0.082448701,-0.031591175,-0.1140398760, 4912,12.543280
cy102_CD45neg_CD90neg_S92,-24.28188355,  3.96719142,Mel102,Mel102,ICR,high,high,low, 1.646710246, 0.733825462,-0.9128847847, 7580,13.827425
cy110_CD45neg_CD90neg_S276, -6.35329008, 24.46330183,Mel110,Mel110,ICR,high,high,low, 2.639453407, 1.130944808,-1.5085085991, 9046,14.311098
cy103_CD45neg_CD90neg_S136, -0.63117420,-11.28675888,Mel103,Mel103,TN,low,high,high, 0.128488238, 0.163870727, 0.0353824887, 6404,13.529941
cy102_CD45neg_CD90neg_S53,-20.66287539, 11.51189803,Mel102,Mel102,ICR,high,high,low, 1.367548115, 0.461785790,-0.9057623250, 4098,13.646596
cy102_CD45neg_CD90neg_S48,-25.06331558,  4.87115070,Mel102,Mel102,ICR,high,high,low, 1.636705063, 1.080389867,-0.5563151966, 7290,13.681000
cy110_CD45neg_CD90neg_S267, -9.26297640, 22.67422079,Mel110,Mel110,ICR,high,high,low, 2.139122283, 0.809351654,-1.3297706288,11533,14.390739
cy102_CD45neg_CD90neg_S49,-22.94637525, 11.38727821,Mel102,Mel102,ICR,high,high,high, 0.940491229, 0.812710479,-0.1277807506, 5144,13.623255
cy110_CD45neg_CD90neg_S255, -7.63590238, 18.63316095,Mel110,Mel110,ICR,high,high,low, 2.376941357, 1.054466483,-1.3224748739, 4956,14.549134
cy103_CD45neg_CD90neg_S162, -2.23662550, -7.46156051,Mel103,Mel103,TN,low,low,high,-0.728809271,-0.270893042, 0.4579162289, 8541,14.061660
cy102_CD45neg_CD90neg_S54,-24.24033939,  6.53188091,Mel102,Mel102,ICR,high,high,low, 1.518981252, 0.941182479,-0.5777987732, 7813,13.440321
cy103_CD45neg_CD90neg_S109, -3.63553863, -6.00959751,Mel103,Mel103,TN,low,low,high,-0.626330893,-0.583784076, 0.0425468167, 6192,13.409362
cy103_CD45neg_CD90neg_S188, -2.72413877, -8.31016204,Mel103,Mel103,TN,low,low,high,-1.330406674,-0.775629105, 0.5547775690, 6383,13.521684
cy103_CD45neg_CD90neg_S145, -5.06626931,-19.45767643,Mel103,Mel103,TN,low,low,high,-0.343548563,-0.020278930, 0.3232696331, 2601,13.709899
cy102_CD45neg_CD90neg_S69,-20.47690110,  3.83368086,Mel102,Mel102,ICR,high,high,low, 1.266256149, 0.749100780,-0.5171553682, 6398,13.263870
cy102_CD45neg_CD90neg_S60,-26.47583401,  6.64959557,Mel102,Mel102,ICR,high,high,low, 1.696929252, 0.791149093,-0.9057801590, 7471,13.565789
cy110_CD45neg_CD90neg_S254, -8.72507889, 20.54071570,Mel110,Mel110,ICR,high,high,low, 2.695225937, 1.068969960,-1.6262559764, 5692,14.552831
cy102_CD45neg_CD90neg_S17,-23.55922603,  6.79383056,Mel102,Mel102,ICR,high,high,low, 1.345037500, 0.547213495,-0.7978240048, 7706,13.585009
cy103_CD45neg_CD90neg_S190, -4.31897486, -8.35871624,Mel103,Mel103,TN,low,low,high,-0.860460377,-0.660808047, 0.1996523300, 4998,13.695938
cy102_CD45neg_CD90neg_S58,-26.22308199,  5.62853473,Mel102,Mel102,ICR,high,high,low, 1.731049475, 0.876949904,-0.8540995713, 7447,13.289938
