Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
NAME,X,Y,LABELS,tumor,treatment,Immune_resistance,Immune_resistance.up,Immune_resistance.down,OE.Immune_resistance,OE.Immune_resistance.up,OE.Immune_resistance.down,no.genes,log.no.reads
TYPE,numeric,numeric,group,group,group,group,group,group,numeric,numeric,numeric,numeric,numeric
cy78_CD45_neg_1_B04_S496_comb,-37.67827970, 29.37006277,Mel78,Mel78,ICR,high,high,low, 0.993691162, 0.342758663,-0.6509324992, 8258,12.788062
cy79_p4_CD45_neg_PDL1_neg_E11_S1115_comb, 32.64096136, 16.77241651,Mel79,Mel79,TN,low,low,high,-2.291594664,-0.920337444, 1.3712572195, 2047, 8.652947
CY88_5_B10_S694_comb,  7.82882417, 35.85805623,Mel88,Mel88,ICR,low,low,high,-0.391270900,-0.116520225, 0.2747506753, 5375,11.843796
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F07_S67_comb,  9.95712193, 10.29147661,Mel79,Mel79,TN,low,low,high,-2.334322424,-1.031275608, 1.3030468155, 5648,11.211766
cy78_CD45_neg_3_H06_S762_comb,-34.02737756, 35.48765631,Mel78,Mel78,ICR,high,high,low, 0.868151165, 0.166383769,-0.7017673961, 7409,12.848823
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G01_S73_comb, 13.90818005,  6.61184774,Mel79,Mel79,TN,low,low,high,-2.643474361,-1.049537578, 1.5939367832, 6988,11.434802
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D09_S141_comb, 17.76058023,  5.99972600,Mel79,Mel79,TN,low,low,high,-2.666803351,-1.113145111, 1.5536582403, 5195,11.061877
CY88_3_D02_S614_comb,  0.65642783, 45.97201684,Mel88,Mel88,ICR,low,low,high, 0.053051762, 0.016597139,-0.0364546230, 7345,13.112101
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D06_S138_comb, 10.65698523,  5.62610890,Mel79,Mel79,TN,low,low,high,-2.653487813,-1.055256288, 1.5982315251, 4847,11.003332
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C04_S28_comb, 40.25482214, -4.76984730,Mel79,Mel79,TN,low,low,high,-2.035505982,-0.748881778, 1.2866242036, 3968,10.521237
Cy71_CD45_D08_S524_comb,-44.44068326,-21.94600336,Mel71,Mel71,TN,high,high,low, 1.122800713, 0.402090777,-0.7207099354, 4660,11.876721
Cy81_FNA_CD45_B01_S301_comb, -9.68210926,-48.07577514,Mel81,Mel81,TN,high,high,low, 0.464970207, 0.315582120,-0.1493880871, 6387,12.184997
CY88_5_B06_S690_comb,  2.05943119, 47.47860618,Mel88,Mel88,ICR,high,high,low, 0.708532111, 0.210646820,-0.4978852917, 6987,12.868459
cy79_p3_CD45_neg_PDL1_neg_E04_S244_comb, 21.51525760, 10.76421057,Mel79,Mel79,TN,low,low,high,-2.246141389,-0.869715853, 1.3764255363, 5197,13.288473
Cy80_II_CD45_B07_S883_comb, 30.54696202,-43.40715319,Mel80,Mel80,TN,low,low,low, 0.062394217,-0.109880780,-0.1722749968, 5913,11.552117
cy79_p4_CD45_neg_PDL1_neg_H11_S1151_comb, 27.78757013,  2.29717639,Mel79,Mel79,TN,low,low,high,-2.592307987,-0.891792736, 1.7005152512, 4855,11.760886
Cy81_Bulk_CD45_B10_S118_comb, -8.91150895,-48.22106197,Mel81,Mel81,TN,high,low,low, 0.429351720,-0.017071255,-0.4464229747, 8366,13.237888
cy79_p5_CD45_neg_PDL1_neg_F10_S838_comb, 30.21277744, 13.39674550,Mel79,Mel79,TN,low,low,high,-2.489425670,-0.885181565, 1.6042441053, 2394, 9.275098
CY88_3_F01_S637_comb,  6.68992310, 47.49102257,Mel88,Mel88,ICR,low,low,high,-0.223389697,-0.291437750,-0.0680480527, 6010,12.445790
CY88_3_C01_S601_comb,  6.71848318, 46.48691941,Mel88,Mel88,ICR,high,high,low, 0.506498086, 0.133798581,-0.3726995046, 6332,12.906590
CY89NEG_E07_S55_comb,-53.96626636,  5.89911350,Mel89,Mel89,TN,low,low,high,-0.828789705,-0.457189318, 0.3716003870, 7752,13.239197
CY89CORE11_G02_S170_comb,-52.95613895,  5.04576480,Mel89,Mel89,TN,low,low,high,-0.590071005,-0.222668692, 0.3674023134, 6591,12.920509
cy78_CD45_neg_1_D07_S523_comb,-37.76930969, 29.98226530,Mel78,Mel78,ICR,high,high,low, 1.188372466, 0.219259856,-0.9691126099, 8548,12.885709
cy78_CD45_neg_3_D01_S709_comb,-39.47211501, 31.12886706,Mel78,Mel78,ICR,high,low,low, 0.565529757, 0.019401254,-0.5461285033, 8472,12.962049
cy79_p5_CD45_neg_PDL1_pos_A04_S676_comb, 11.58046317, 17.05692823,Mel79,Mel79,TN,low,low,high,-1.691055808,-1.001986738, 0.6890690695, 6065,12.083447
Cy71_CD45_B05_S497_comb,-42.23411121,-22.23410866,Mel71,Mel71,TN,high,high,low, 0.653753532, 0.268339703,-0.3854138286, 4721,10.082721
Cy80_II_CD45_C09_S897_comb, 28.39432701,-38.14389720,Mel80,Mel80,TN,low,low,high,-0.648429061,-0.578597540, 0.0698315211, 6021,12.645582
cy81_FNA_CD45_neg_D04_S1000_comb, -3.37067621,-49.25988595,Mel81,Mel81,TN,low,high,high, 0.158348315, 0.126230119,-0.0321181953, 9551,12.334435
cy79_p3_CD45_neg_PDL1_neg_F04_S256_comb,  7.23545208,  4.82453042,Mel79,Mel79,TN,low,low,high,-2.253033089,-0.929646207, 1.3233868822, 6717,12.997761
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C01_S121_comb, 17.88590773, 14.68574526,Mel79,Mel79,TN,low,low,high,-2.276968344,-0.789363855, 1.4876044893, 4758,10.421209
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D02_S134_comb, 15.61411334,-11.74709405,Mel79,Mel79,TN,low,low,high,-1.056234669,-0.458648251, 0.5975864181, 2862,11.053664
cy80_CD45_neg_G01_S937_comb, 28.28766881,-43.66701581,Mel80,Mel80,TN,high,high,low, 0.562236885, 0.167720923,-0.3945159618, 7453,11.946907
cy78_CD45_neg_2_B08_S596_comb,-36.71706797, 28.97417464,Mel78,Mel78,ICR,high,high,low, 0.898270999, 0.302841410,-0.5954295892, 6475,11.162886
cy78_CD45_neg_1_E02_S530_comb,-33.14024130, 36.93656107,Mel78,Mel78,ICR,high,high,low, 0.443918386, 0.117866386,-0.3260520000, 7690,12.819023
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F07_S163_comb, 14.56145197,  7.99056162,Mel79,Mel79,TN,low,low,high,-2.639392480,-0.946732896, 1.6926595836, 5376,11.211807
CY89CORE11_A11_S107_comb,-56.74993262,  4.22065270,Mel89,Mel89,TN,low,low,high,-0.719075223,-0.393070660, 0.3260045624, 6825,13.049745
cy78_CD45_neg_3_B02_S686_comb,-33.72445344, 32.47962576,Mel78,Mel78,ICR,high,high,low, 0.604688563, 0.059603530,-0.5450850323, 7586,12.663137
cy79_p5_CD45_neg_PDL1_neg_A02_S770_comb, 38.16392938, -3.74880274,Mel79,Mel79,TN,low,low,high,-3.057992851,-1.219773818, 1.8382190336, 3715,11.058811
cy79_p4_CD45_neg_PDL1_neg_D01_S1093_comb, 23.27020032, 11.36748416,Mel79,Mel79,TN,low,low,high,-3.336350750,-1.483075630, 1.8532751203, 4702,11.635063
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C01_S313_comb, 24.83649568, -0.20727018,Mel79,Mel79,TN,low,low,high,-2.233877825,-0.911567029, 1.3223107959, 5901,11.629864
cy81_Bulk_CD45_neg_A10_S106_comb, -7.88670250,-52.19818121,Mel81,Mel81,TN,high,low,low, 0.291739486, 0.017252328,-0.2744871577, 5266,10.904101
cy79_p5_CD45_neg_PDL1_neg_C03_S795_comb, 25.42770505, -7.58762637,Mel79,Mel79,TN,low,low,high,-2.144589991,-0.776256173, 1.3683338177, 4608,11.320711
cy78_CD45_neg_3_D04_S712_comb,-36.36662108, 33.43097294,Mel78,Mel78,ICR,high,high,low, 0.774469321, 0.172569249,-0.6019000716, 7933,13.349167
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A10_S10_comb, 27.61944454, -6.24820341,Mel79,Mel79,TN,low,low,high,-2.767815902,-1.127795988, 1.6400199147, 6014,11.656723
cy81_FNA_CD45_neg_B01_S973_comb, -2.10136568,-51.56350486,Mel81,Mel81,TN,low,low,high,-0.386831052,-0.144119380, 0.2427116725, 6667,12.135403
Cy81_FNA_CD45_E05_S341_comb, -5.92130931,-47.72186588,Mel81,Mel81,TN,high,high,low, 0.354927130, 0.087881817,-0.2670453130, 7719,11.885344
cy78_CD45_neg_3_E02_S722_comb,-31.50127215, 34.61062373,Mel78,Mel78,ICR,high,high,low, 0.659554145, 0.188113872,-0.4714402733, 7418,12.995863
cy79_p3_CD45_neg_PDL1_neg_H12_S288_comb, 21.05575174, -6.55145238,Mel79,Mel79,TN,low,low,high,-2.223426011,-1.000664650, 1.2227613614, 8336,11.076898
cy79_p5_CD45_neg_PDL1_pos_D05_S713_comb, 11.25808845, 11.05903145,Mel79,Mel79,TN,low,low,high,-2.734966568,-1.052712856, 1.6822537119, 4068,10.052554
cy78_CD45_neg_3_D10_S718_comb,-40.23637509, 26.68992077,Mel78,Mel78,ICR,high,high,high, 0.715196539, 0.652468882,-0.0627276574, 3602,10.034910
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G10_S82_comb, 12.16138350,  7.55542461,Mel79,Mel79,TN,low,low,high,-2.512547005,-1.089070160, 1.4234768448, 6932,11.159759
cy78_CD45_neg_1_G05_S557_comb,-37.97488887, 31.04567339,Mel78,Mel78,ICR,high,high,low, 0.732540695, 0.163327572,-0.5692131230, 8934,13.321281
CY88_5_C12_S708_comb,  5.08750593, 45.97263275,Mel88,Mel88,ICR,high,high,low, 0.436446007, 0.228987993,-0.2074580145, 6563,12.263587
cy79_p5_CD45_neg_PDL1_pos_B02_S686_comb, 15.75297056, -1.17163447,Mel79,Mel79,TN,low,low,high,-1.462322752,-0.666242581, 0.7960801716, 5283,11.220459
Cy81_Bulk_CD45_E10_S154_comb, -9.12428917,-46.25742363,Mel81,Mel81,TN,high,high,low, 0.714318242, 0.153911066,-0.5604071759, 7468,12.678333
CY88CD45_150813_G04_S364_comb, -5.71547057, -6.30190735,Mel88,Mel88,ICR,low,low,high,-0.404460889,-0.519761179,-0.1153002899, 8227,14.027656
Cy80_II_CD45_H07_S955_comb, 30.44938271,-45.04351283,Mel80,Mel80,TN,low,low,low, 0.122958715,-0.102335461,-0.2252941760, 4020,11.739567
cy79_p4_CD45_neg_PDL1_neg_B08_S1076_comb, 27.16145005, -6.58099245,Mel79,Mel79,TN,low,low,high,-2.502624949,-1.060916651, 1.4417082979, 4826,11.975508
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B07_S19_comb, 16.72750113,  6.20449094,Mel79,Mel79,TN,low,low,high,-2.998556890,-1.244183360, 1.7543735308, 5702,11.526927
cy79_p4_CD45_neg_PDL1_neg_C12_S1092_comb, 32.28917901,  4.23353234,Mel79,Mel79,TN,low,low,high,-1.916265281,-0.701147841, 1.2151174397, 3106, 9.863082
cy78_CD45_neg_3_G11_S755_comb,-34.98877936, 33.33693633,Mel78,Mel78,ICR,high,high,low, 1.284881281, 0.303360836,-0.9815204454, 7916,13.516062
Cy81_FNA_CD45_D09_S333_comb, -4.70498444,-53.00463451,Mel81,Mel81,TN,low,high,high, 0.074514853, 0.078411418, 0.0038965647, 5345,12.036168
cy79_p3_CD45_neg_PDL1_neg_A08_S200_comb, 34.70750009, 12.13944181,Mel79,Mel79,TN,low,low,high,-3.160595624,-0.950398619, 2.2101970049, 4349,12.537087
Cy71_CD45_E12_S540_comb,-45.96646702,-20.74639668,Mel71,Mel71,TN,low,low,low, 0.173182729,-0.088252170,-0.2614348993, 4534,12.071890
cy78_CD45_neg_1_H01_S565_comb,-35.47105275, 34.98985740,Mel78,Mel78,ICR,high,high,low, 0.989501198, 0.314430535,-0.6750706627, 8927,13.485252
CY89CORE11_F05_S161_comb,-57.60553411,  3.14954957,Mel89,Mel89,TN,low,low,high,-0.247611659,-0.180450627, 0.0671610315, 7496,12.831909
CY89NEG_C03_S27_comb,-56.39019198,  6.90953092,Mel89,Mel89,TN,low,low,high,-0.341265580,-0.106772731, 0.2344928486, 6231,12.983366
cy81_Bulk_CD45_neg_G01_S169_comb, -1.40152218,-52.15180151,Mel81,Mel81,TN,low,low,high,-0.623712274,-0.467576513, 0.1561357617, 6553,12.581474
CY89CORE11_B10_S118_comb,-54.64680382,  6.17258225,Mel89,Mel89,TN,low,low,high,-0.640043091,-0.238091370, 0.4019517203, 6668,12.849654
cy78_CD45_neg_1_C02_S506_comb,-30.42264529, 40.18113977,Mel78,Mel78,ICR,low,low,low, 0.170351754,-0.074624977,-0.2449767308, 4651,11.134647
CY88_5_G04_S748_comb,  5.19750097, 42.24733784,Mel88,Mel88,ICR,high,high,low, 1.111279794, 0.740378132,-0.3709016614, 4793,11.507501
cy79_p3_CD45_neg_PDL1_neg_H04_S280_comb, 20.25117019,  8.67842299,Mel79,Mel79,TN,low,low,high,-2.194503066,-1.170504522, 1.0239985437, 5566,13.869374
CY88_3_F05_S641_comb,  6.19738499, 38.73442210,Mel88,Mel88,ICR,low,low,high,-0.234730034,-0.246590056,-0.0118600224, 3891,11.634630
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B10_S118_comb, 16.31443487, 12.02122741,Mel79,Mel79,TN,low,low,high,-2.395800629,-0.803890737, 1.5919098922, 5465,11.182225
Cy71_CD45_G02_S554_comb,-45.33081124,-23.78956512,Mel71,Mel71,TN,high,high,low, 0.480177239, 0.287947799,-0.1922294396, 4063,11.841337
cy78_CD45_neg_1_A05_S485_comb,-33.65061593, 37.68709669,Mel78,Mel78,ICR,high,high,low, 0.785824368, 0.186726684,-0.5990976841, 7402,12.331312
cy81_Bulk_CD45_neg_C03_S123_comb, -4.95722555,-54.05555624,Mel81,Mel81,TN,low,low,high,-0.280427174,-0.113013609, 0.1674135659, 5958,12.358532
cy79_p4_CD45_neg_PDL1_neg_C03_S1083_comb, 36.74153429, 10.75376570,Mel79,Mel79,TN,low,low,high,-3.042311692,-1.239874652, 1.8024370398, 3950,11.486715
cy81_FNA_CD45_neg_C09_S993_comb, -2.97622253,-47.90192510,Mel81,Mel81,TN,high,high,low, 0.449110954, 0.220319186,-0.2287917676,10092,12.675964
cy80_CD45_neg_G04_S940_comb, 27.68979244,-47.51472987,Mel80,Mel80,TN,high,low,low, 0.260074217, 0.036455106,-0.2236191111, 7840,11.895436
Cy80_II_CD45_H09_S957_comb, 31.29758621,-44.98358746,Mel80,Mel80,TN,high,high,low, 0.256523390, 0.044459960,-0.2120634300, 6570,12.145282
cy80_CD45_neg_A09_S873_comb, 27.03737533,-40.28233681,Mel80,Mel80,TN,low,low,high,-0.074617200,-0.123418121,-0.0488009205, 6953,11.776512
CY88_3_H11_S671_comb,  7.22278450, 47.71215886,Mel88,Mel88,ICR,high,high,low, 0.304529070, 0.173604363,-0.1309247066, 6898,12.745305
Cy80_II_CD45_B11_S887_comb, 28.84571820,-41.50405749,Mel80,Mel80,TN,low,low,low, 0.124767135,-0.190828311,-0.3155954464, 6395,12.176561
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D12_S144_comb, 11.32829810,  5.42892190,Mel79,Mel79,TN,low,low,high,-2.585903921,-0.935451739, 1.6504521813, 3791,10.500867
CY89NEG_B03_S15_comb,-55.23987470,  4.58248915,Mel89,Mel89,TN,low,low,high,-0.626171921,-0.230370515, 0.3958014063, 6231,13.052194
Cy81_Bulk_CD45_E04_S148_comb, -8.87448863,-47.16090688,Mel81,Mel81,TN,high,high,low, 0.393029829, 0.237355595,-0.1556742342, 7206,12.229970
Cy80_II_CD45_D11_S911_comb, 31.29695839,-45.75346950,Mel80,Mel80,TN,low,low,low, 0.062914148,-0.111628185,-0.1745423331, 7098,12.005827
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D05_S137_comb, 11.11410158,  5.40875910,Mel79,Mel79,TN,low,low,high,-2.689300250,-1.026613031, 1.6626872192, 5438,10.902095
cy78_CD45_neg_1_E03_S531_comb,-26.78066309, 24.94283487,Mel78,Mel78,ICR,high,high,high, 0.201978027, 0.145653955,-0.0563240720, 5052,11.369713
CY88_3_C10_S610_comb,  7.44219092, 48.74023520,Mel88,Mel88,ICR,high,high,high, 0.205120864, 0.092950231,-0.1121706325, 6687,12.923300
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B08_S308_comb, 26.32160672,  6.55382758,Mel79,Mel79,TN,low,low,high,-2.236067385,-1.064782420, 1.1712849653, 3865,12.083696
cy78_CD45_neg_1_E07_S535_comb,-32.59943027, 36.37479808,Mel78,Mel78,ICR,high,high,low, 0.701494822, 0.263108639,-0.4383861832, 6901,11.836305
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B12_S24_comb, 24.54936054,  7.45662132,Mel79,Mel79,TN,low,low,high,-2.487502494,-1.079936792, 1.4075657024, 5850,11.427945
CY89NEG_G01_S73_comb,-56.21419487,  4.99693551,Mel89,Mel89,TN,low,low,high,-1.075677501,-0.630957398, 0.4447201022, 5924,12.829824
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B02_S14_comb, 13.40619158, 10.49289060,Mel79,Mel79,TN,low,low,high,-2.293227373,-0.956118169, 1.3371092045, 6001,11.812452
cy79_p4_CD45_neg_PDL1_pos_G08_S464_comb, 29.57270271, -1.83707017,Mel79,Mel79,TN,low,low,high,-2.368706665,-0.976231893, 1.3924747718, 6615,12.733693
cy81_FNA_CD45_neg_F09_S1029_comb, -3.17521006,-46.53794821,Mel81,Mel81,TN,low,low,high,-0.174003843,-0.017220293, 0.1567835501, 7912,12.581209
cy78_CD45_neg_2_C06_S606_comb,-32.23120181, 41.84797507,Mel78,Mel78,ICR,low,high,high, 0.122882949, 0.155381119, 0.0324981698, 3398,10.051649
Cy81_FNA_CD45_G10_S370_comb,-12.96494512,-49.99553984,Mel81,Mel81,TN,high,high,high, 0.244265165, 0.314877186, 0.0706120213, 2821, 9.290629
Cy71_CD45_E11_S539_comb,-42.44324441,-22.18847732,Mel71,Mel71,TN,high,high,low, 1.525613506, 0.571047020,-0.9545664864, 4925,12.256376
CY88_5_D11_S719_comb,  4.96038483, 46.70180251,Mel88,Mel88,ICR,high,high,low, 0.655699263, 0.341184218,-0.3145150453, 6780,12.378500
CY89FNAQ2_F06_S450_comb,-54.29622370,  4.28670426,Mel89,Mel89,TN,low,low,high,-0.561277053,-0.314726677, 0.2465503755, 8202,13.122403
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C08_S32_comb, 20.30209185, -0.26900304,Mel79,Mel79,TN,low,low,high,-2.396445178,-1.146381273, 1.2500639054, 6345,11.455995
cy78_CD45_neg_3_G02_S746_comb,-31.59349810, 35.69457523,Mel78,Mel78,ICR,high,low,low, 0.485216485, 0.029088614,-0.4561278708, 7567,13.079095
Cy81_FNA_CD45_C09_S321_comb, -6.33686897,-47.39516651,Mel81,Mel81,TN,low,high,low, 0.184962814, 0.053594346,-0.1313684681, 7589,12.373797
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F06_S66_comb,  8.03684451, 11.50698134,Mel79,Mel79,TN,low,low,high,-1.323104912,-0.905690790, 0.4174141217, 7319,11.485123
cy78_CD45_neg_1_B02_S494_comb,-34.31897684, 33.41869548,Mel78,Mel78,ICR,high,high,low, 0.628948869, 0.068121128,-0.5608277405, 8130,12.592535
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E01_S49_comb, 10.24939791,  8.19457799,Mel79,Mel79,TN,low,low,high,-2.823342482,-1.110335716, 1.7130067659, 5496,11.546998
cy80_CD45_neg_D04_S904_comb, 27.99637817,-45.93623104,Mel80,Mel80,TN,high,high,low, 0.395186001, 0.201013219,-0.1941727820, 7774,11.789451
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F01_S157_comb, 15.19421941,  6.57005845,Mel79,Mel79,TN,low,low,high,-2.383315112,-0.773979448, 1.6093356642, 5660,11.151482
cy79_p4_CD45_neg_PDL1_pos_A02_S386_comb, 34.48174118,  7.89412641,Mel79,Mel79,TN,low,low,high,-1.935643358,-0.851657307, 1.0839860507, 4645,12.777758
cy80_CD45_neg_E02_S914_comb, 27.15743655,-47.56251231,Mel80,Mel80,TN,low,high,high, 0.050680301, 0.149771014, 0.0990907132, 5766,10.417388
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D09_S45_comb,  9.94352298,  3.61667522,Mel79,Mel79,TN,low,low,high,-2.547840629,-0.839638234, 1.7082023952, 4353,10.977397
cy78_CD45_neg_1_H07_S571_comb,-33.75123891, 38.31258346,Mel78,Mel78,ICR,high,high,low, 0.385971770, 0.130058715,-0.2559130557, 6035,11.753791
Cy80_II_CD45_G07_S943_comb, 28.87502144,-47.11095408,Mel80,Mel80,TN,high,low,low, 0.426438499, 0.024838144,-0.4016003554, 5909,10.817596
cy78_CD45_neg_1_F06_S546_comb,-35.17139025, 32.33791183,Mel78,Mel78,ICR,high,high,low, 1.205339170, 0.439013125,-0.7663260454, 6791,11.884013
cy81_FNA_CD45_neg_E04_S1012_comb, -3.18045902,-48.03169052,Mel81,Mel81,TN,low,high,high, 0.172931166, 0.189099993, 0.0161688268, 7442,11.863653
cy81_Bulk_CD45_neg_E04_S148_comb, -8.73935448,-52.41219609,Mel81,Mel81,TN,low,low,low,-0.127404242,-0.481529952,-0.3541257099, 4496,12.440073
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H01_S181_comb, 15.70389343,  8.71292537,Mel79,Mel79,TN,low,low,high,-2.554878067,-1.070997214, 1.4838808524, 5891,11.289507
cy81_Bulk_CD45_neg_C11_S131_comb, -7.39951921,-46.46906649,Mel81,Mel81,TN,high,low,low, 0.459416752,-0.081113001,-0.5405297529, 9314,11.888405
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A04_S4_comb, 14.39075473, 13.35946028,Mel79,Mel79,TN,low,low,high,-3.072690771,-1.287413706, 1.7852770652, 5890,12.356680
cy81_Bulk_CD45_neg_D09_S141_comb, -3.23807776,-49.81339136,Mel81,Mel81,TN,low,low,high, 0.025801123, 0.030107020, 0.0043058965, 7037,12.015656
Cy71_CD45_G08_S560_comb,-41.37956707,-21.75362991,Mel71,Mel71,TN,high,high,low, 1.076191359, 0.299327772,-0.7768635867, 3980,10.402322
CY89CORE11_A04_S100_comb,-53.93266612,  5.80599405,Mel89,Mel89,TN,low,low,high,-0.301870812,-0.229549370, 0.0723214420, 6918,12.590849
cy80_CD45_neg_G02_S938_comb, 27.53099879,-46.61228683,Mel80,Mel80,TN,low,low,high,-0.036318592,-0.142465177,-0.1061465852, 7821,11.857593
CY88_5_H03_S759_comb,  9.18262962, 47.72651386,Mel88,Mel88,ICR,high,high,low, 0.408401228, 0.088681988,-0.3197192402, 7148,12.563111
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B08_S20_comb, 14.25316447,  7.87226915,Mel79,Mel79,TN,low,low,high,-2.812438847,-0.958809778, 1.8536290692, 5962,11.620326
CY88_5_E04_S724_comb,  8.39826927, 35.96979976,Mel88,Mel88,ICR,high,high,high, 0.233982543, 0.182145536,-0.0518370065, 4165,12.301219
CY89NEG_H11_S95_comb,-52.40218634,  8.45666787,Mel89,Mel89,TN,low,low,high,-1.019753018,-0.688162317, 0.3315907014, 6173,12.452855
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D11_S335_comb, 23.58544826, -7.16649182,Mel79,Mel79,TN,low,low,high,-2.013655631,-0.992328433, 1.0213271983, 5362,12.388353
cy79_p5_CD45_neg_PDL1_neg_E02_S818_comb, 14.99162041, -2.15107876,Mel79,Mel79,TN,low,low,high,-1.555838351,-0.682023201, 0.8738151507, 4281,11.071455
cy81_FNA_CD45_neg_F08_S1028_comb, -3.79360036,-47.25649311,Mel81,Mel81,TN,low,low,high, 0.136772668, 0.015684194,-0.1210884741, 8761,12.440077
CY88_3_D07_S619_comb,  6.43502409, 47.06803946,Mel88,Mel88,ICR,high,high,low, 0.805924803, 0.304162040,-0.5017627632, 7931,13.213655
cy79_p3_CD45_neg_PDL1_neg_F09_S261_comb, 26.89892092,  0.64584888,Mel79,Mel79,TN,low,low,high,-2.181485698,-0.815467505, 1.3660181934, 4745,11.647867
CY88_3_G09_S657_comb, 10.48806429, 47.18071434,Mel88,Mel88,ICR,high,high,low, 0.738871045, 0.364562299,-0.3743087461, 7092,12.536577
cy79_p5_CD45_neg_PDL1_neg_D03_S807_comb,  9.15043797,  2.64803223,Mel79,Mel79,TN,low,low,high,-2.332227026,-0.953750624, 1.3784764018, 3840,11.130215
CY88_5_H08_S764_comb,  5.98726409, 45.46747549,Mel88,Mel88,ICR,high,high,low, 0.688318410, 0.285466779,-0.4028516303, 7501,12.858958
cy79_p4_CD45_neg_PDL1_neg_F08_S1124_comb, 40.96077441,  3.52439730,Mel79,Mel79,TN,low,low,high,-2.587318407,-0.831953404, 1.7553650036, 4407,11.917650
cy81_FNA_CD45_neg_G12_S1044_comb, -7.21184505,-52.23769882,Mel81,Mel81,TN,low,low,high,-0.336988403,-0.186209920, 0.1507784828, 4097,11.189229
CY88_3_B04_S592_comb,  7.99625625, 35.61539700,Mel88,Mel88,ICR,low,low,high,-0.310070362,-0.093916446, 0.2161539160, 6591,12.916143
cy79_p5_CD45_neg_PDL1_pos_A11_S683_comb, 23.79572365, -2.02433230,Mel79,Mel79,TN,low,low,high,-2.107687524,-0.888285194, 1.2194023304, 5228,12.471969
Cy71_CD45_F06_S546_comb,-46.68470550,-22.53698740,Mel71,Mel71,TN,high,high,low, 0.941126752, 0.351018964,-0.5901077887, 4719,11.924876
cy79_p5_CD45_neg_PDL1_pos_G11_S755_comb, 31.32460220, 11.70722885,Mel79,Mel79,TN,low,low,high,-3.041999006,-0.954780185, 2.0872188213, 4701,11.634213
cy79_p5_CD45_neg_PDL1_pos_C10_S706_comb, 22.18255596,  8.17716494,Mel79,Mel79,TN,low,low,high,-2.704716614,-1.099066187, 1.6056504268, 4792,11.072760
cy79_p3_CD45_neg_PDL1_neg_F08_S260_comb, 19.20534340,  1.45101819,Mel79,Mel79,TN,low,low,high,-2.312447386,-1.086479364, 1.2259680219, 6850,12.835894
CY89NEG_F05_S65_comb,-54.70716560,  7.10179900,Mel89,Mel89,TN,low,low,high,-0.770172370,-0.440615675, 0.3295566959, 6335,12.676154
cy80_CD45_neg_H08_S956_comb, 27.94139956,-42.94708736,Mel80,Mel80,TN,low,low,high,-0.195541238,-0.230090548,-0.0345493108, 7410,11.324377
cy79_p3_CD45_neg_PDL1_neg_G03_S267_comb, 38.41153052, -1.97480145,Mel79,Mel79,TN,low,low,high,-2.541385235,-0.842978293, 1.6984069421, 5162,12.542770
Cy81_Bulk_CD45_D10_S142_comb, -7.30974676,-48.01617064,Mel81,Mel81,TN,low,low,high, 0.066865746,-0.051206339,-0.1180720857, 9554,12.670863
CY89NEG_F07_S67_comb,-49.50997037,  9.31740995,Mel89,Mel89,TN,low,low,low,-0.247078756,-0.459370646,-0.2122918897, 5122,12.369186
cy79_p5_CD45_neg_PDL1_pos_H06_S762_comb, 39.81260050,  3.21888933,Mel79,Mel79,TN,low,low,high,-2.900524880,-1.250953253, 1.6495716271, 4232,11.068855
cy79_p4_CD45_neg_PDL1_neg_F12_S1128_comb, -0.11277137,  1.86101598,Mel79,Mel79,TN,low,low,high,-0.435733176,-0.340205306, 0.0955278702, 2779, 9.477386
