Column1,Column2,Column3,Column1,Column2,Column3,,,
NAME,X,Y,NAME,CLUSTER,SUB-CLUSTER,,,
TYPE,numeric,numeric,TYPE,group,group,,,
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-C02-S506-comb,24.8060506,34.41911384,cy80-Cd45-pos-PD1-pos-S109-E01-S109-comb,T,T,CY88_5_A09_S681_comb,malignant,malignant
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-C06-S414-comb,-40.77922517,23.32050394,cy80-Cd45-pos-Pd1-neg-S268-D04-S268-comb,T,T,CY88_3_A05_S581_comb,malignant,malignant
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-C10-S514-comb,25.06398288,-78.9546481,cy80-Cd45-pos-Pd1-neg-S223-B07-S223-comb,B,B,CY88_3_E08_S632_comb,malignant,malignant
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-E08-S536-comb,35.22744489,34.97330288,cy80-Cd45-pos-PD1-pos-C03-S63-comb,T,T,CY88_3_F08_S644_comb,malignant,malignant
cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-D10-S238-comb,-73.10102976,-4.596505516,cy80-Cd45-pos-PD1-pos-S143-F11-S143-comb,T,T,CY88_5_D12_S720_comb,malignant,malignant
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-B07-S403-comb,-11.95170448,6.026787662,cy80-Cd45-pos-Pd1-neg-S219-B03-S219-comb,B,B,CY88_5_B08_S692_comb,malignant,malignant
cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-H11-S287-comb,-31.08104469,-33.58664726,cy80-Cd45-pos-Pd1-neg-S227-B11-S227-comb,B,B,CY88_5_E11_S731_comb,malignant,malignant
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-B10-S502-comb,5.726827981,-72.35822821,cy80-Cd45-pos-PD1-pos-C10-S70-comb,T,T,CY88_3_A04_S580_comb,malignant,malignant
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-B06-S402-comb,-11.77469007,6.893106374,cy80-Cd45-pos-Pd1-neg-S361-H01-S361-comb,T,T,CY88_5_G08_S752_comb,malignant,malignant
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-G08-S464-comb,-32.45228939,-32.77628372,cy80-Cd45-pos-PD1-pos-S116-E08-S116-comb,T,T,CY88_5_C11_S707_comb,malignant,malignant
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-F06-S450-comb,-72.21510734,10.71221343,cy80-Cd45-pos-PD1-pos-D10-S94-comb,T,T,CY88_5_A10_S682_comb,malignant,malignant
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-C08-S512-comb,3.924268446,-67.65643922,cy80-Cd45-pos-PD1-pos-S141-F09-S141-comb,T,T,CY88_5_D04_S712_comb,malignant,malignant
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-E05-S533-comb,3.066801683,-67.2303383,cy80-Cd45-pos-Pd1-neg-S338-G02-S338-comb,B,B,CY88_5_B04_S688_comb,malignant,malignant
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-G11-S563-comb,3.983591017,-71.26068297,cy80-Cd45-pos-PD1-pos-C06-S66-comb,T,T,CY88_3_H03_S663_comb,malignant,malignant
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-E12-S444-comb,-39.48597035,33.88886618,cy80-Cd45-pos-PD1-pos-C08-S68-comb,undefined,undefined,CY88_5_G12_S756_comb,malignant,malignant
cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-B10-S214-comb,0.659061014,1.678206293,cy80-Cd45-pos-PD1-pos-S112-E04-S112-comb,T,T,CY88_3_C09_S609_comb,undefined,undefined
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-D08-S428-comb,-65.50831674,4.406621939,cy80-Cd45-pos-Pd1-neg-S247-C07-S247-comb,B,B,CY88_5_C07_S703_comb,malignant,malignant
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-F03-S543-comb,2.474914197,-69.6697496,cy80-Cd45-pos-Pd1-neg-S368-H08-S368-comb,T,T,CY88_5_H01_S757_comb,malignant,malignant
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-E12-S540-comb,3.0234168,-70.70465565,cy80-Cd45-pos-PD1-pos-S133-F01-S133-comb,T,T,CY88_5_E08_S728_comb,malignant,malignant
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-F02-S446-comb,6.018986039,-10.95516284,cy80-Cd45-pos-Pd1-neg-S362-H02-S362-comb,T,T,CY88_5_C04_S700_comb,malignant,malignant
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-G07-S463-comb,-38.98927023,33.02586105,cy80-Cd45-pos-PD1-pos-S188-H08-S188-comb,T,T,CY88_5_C10_S706_comb,malignant,malignant
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-B09-S405-comb,-2.44814519,15.55508561,cy80-Cd45-pos-PD1-pos-A04-S16-comb,T,T,CY88_5_H02_S758_comb,undefined,undefined
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-D01-S421-comb,-65.60272575,6.761113734,cy80-Cd45-pos-PD1-pos-S168-G12-S168-comb,T,T,CY88_5_B05_S689_comb,malignant,malignant
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-E03-S531-comb,2.953074019,-68.70194443,cy80-Cd45-pos-PD1-pos-D03-S87-comb,T,T,CY88_3_E06_S630_comb,malignant,malignant
cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-C03-S219-comb,0.860632033,-1.028491428,cy80-Cd45-pos-Pd1-neg-S296-E08-S296-comb,B,B,CY88_3_A01_S577_comb,malignant,malignant
cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-C09-S225-comb,-72.05943332,-3.362358053,cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-C11-S515-comb,undefined,undefined,CY88_3_C02_S602_comb,undefined,undefined
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-C05-S509-comb,5.753696275,-67.39152543,cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-B08-S500-comb,B,B,CY88_5_H11_S767_comb,malignant,malignant
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-E10-S538-comb,24.71697933,27.46481212,cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-G10-S466-comb,T,T,CY88_5_E10_S730_comb,malignant,malignant
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-C07-S319-comb,90.07588532,18.22492743,cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-G11-S467-comb,T,T,CY88_5_G11_S755_comb,malignant,malignant
cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-G05-S269-comb,-49.79117317,-16.23500867,cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-F07-S67-comb,malignant,malignant,CY88_5_D01_S709_comb,malignant,malignant
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-C07-S511-comb,8.795884862,-75.01756273,cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-G01-S73-comb,malignant,malignant,CY88_3_G04_S652_comb,malignant,malignant
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-H09-S573-comb,7.895654566,-70.03469496,cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-D09-S141-comb,malignant,malignant,CY88_5_H07_S763_comb,malignant,malignant
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-B05-S401-comb,-66.96850329,-3.640163639,cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-D06-S138-comb,malignant,malignant,CY88_3_F04_S640_comb,malignant,malignant
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-F10-S550-comb,6.390990457,-76.50418058,cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-C04-S28-comb,malignant,malignant,CY88_5_G10_S754_comb,malignant,malignant
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-F11-S455-comb,-9.4593817,6.397058441,cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-D05-S233-comb,T,T,CY88_5_C03_S699_comb,malignant,malignant
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-G12-S564-comb,7.392284985,-21.72237993,cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-G01-S265-comb,T,T,CY88_3_E11_S635_comb,malignant,malignant
cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-C06-S222-comb,-45.33422345,-15.13176598,cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-C01-S121-comb,malignant,malignant,CY88_5_F10_S742_comb,malignant,malignant
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-E09-S441-comb,-69.0480344,9.855980728,cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-D02-S134-comb,malignant,malignant,CY88_5_B09_S693_comb,malignant,malignant
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-B07-S499-comb,12.72469108,-74.79694581,cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-F07-S163-comb,malignant,malignant,CY88_3_G06_S654_comb,malignant,malignant
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-E02-S530-comb,3.379795873,-69.09327084,cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-G09-S561-comb,T,T,CY89A_CD45_POS_6_H05_S185_comb,B,B
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-A12-S396-comb,-70.02354562,10.64811635,cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-C08-S416-comb,T,T,CY89A_CD45_POS_10_C11_S227_comb,Macrophage,Macrophage
cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-D06-S234-comb,-69.92730811,-4.469278351,cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-C01-S313-comb,malignant,malignant,CY89A_CD45_POS_10_C12_S228_comb,T,T
cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-F07-S259-comb,-10.31912498,0.361482748,cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-A10-S10-comb,malignant,malignant,CY89A_CD45_POS_4_E11_S443_comb,T,T
cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-G12-S276-comb,-65.61397982,-9.163719178,cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-G10-S82-comb,malignant,malignant,CY89A_CD45_POS_4_D02_S422_comb,T,T
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-C09-S417-comb,-52.40963948,21.32107364,cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-H01-S277-comb,T,T,CY89A_Core_15_E01_S49_comb,T,T
cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-A02-S194-comb,-15.61207173,5.328995806,cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-B07-S19-comb,malignant,malignant,CY89A_CD45_POS_10_B02_S206_comb,T,T
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-C12-S420-comb,-67.12110831,12.15672429,cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-B10-S406-comb,T,T,CY89A_CD45_POS_10_H05_S281_comb,T,T
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-F07-S451-comb,-11.53640769,2.764842119,cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-H08-S572-comb,T,T,CY89A_CD45_POS_6_B03_S111_comb,T,T
cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-F11-S263-comb,-71.06667804,-4.416588394,cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-C02-S218-comb,T,T,CY89A_CD45_POS_10_G12_S276_comb,T,T
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-E11-S443-comb,-9.890668415,8.156214266,cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-C08-S224-comb,T,T,CY89A_Core_15_G04_S76_comb,B,B
cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-F08-S260-comb,-68.82609428,-2.637325707,cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-B10-S118-comb,malignant,malignant,CY89A_CD45_POS_10_E10_S250_comb,B,B
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-C01-S505-comb,33.64988959,39.88700032,cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-B04-S496-comb,B,B,CY89A_CD45_POS_6_G07_S175_comb,B,B
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-D11-S527-comb,34.78689836,37.54488728,cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-D12-S144-comb,malignant,malignant,CY89A_CD45_POS_4_B07_S403_comb,T,T
cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-B07-S211-comb,-70.82766567,-2.561506935,cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-H10-S286-comb,T,T,CY89A_Core_15_B02_S14_comb,Macrophage,Macrophage
cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-G10-S274-comb,-29.38584413,-10.38466573,cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-H05-S569-comb,B,B,CY89A_CD45_POS_6_A07_S103_comb,T,T
cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-C12-S228-comb,-67.3089496,-6.726962874,cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-D05-S137-comb,malignant,malignant,CY89A_CD45_POS_10_A04_S196_comb,T,T
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-E06-S438-comb,-50.78840768,-17.50245627,cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-B08-S308-comb,malignant,malignant,CY89A_CD45_POS_4_B06_S402_comb,T,T
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-G01-S553-comb,4.695964731,-71.06136812,cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-B12-S24-comb,malignant,malignant,CY89A_Core_15_D04_S40_comb,B,B
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-E10-S442-comb,-70.25753642,7.695635306,cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-B02-S14-comb,malignant,malignant,CY89A_CD45_POS_6_C10_S130_comb,Macrophage,Macrophage
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-H06-S570-comb,4.677316185,-69.3681801,cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-F08-S452-comb,T,T,CY89A_CD45_POS_6_C07_S127_comb,T,T
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-F04-S544-comb,9.721920418,-74.87639783,cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-F05-S545-comb,undefined,undefined,CY89A_Core_15_B01_S13_comb,B,B
cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-C11-S227-comb,-43.74849198,-35.83892589,cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-C08-S32-comb,malignant,malignant,CY89A_CD45_POS_6_B11_S119_comb,T,T
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-G04-S556-comb,7.354174818,-67.37746762,cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-F06-S66-comb,malignant,malignant,CY89A_CD45_POS_4_A10_S394_comb,T,T
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-F01-S445-comb,-15.75256545,-22.57771268,cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-C01-S409-comb,T,T,CY89A_CD45_POS_4_D03_S423_comb,T,T
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-B01-S493-comb,33.42174835,39.2912445,cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-E01-S49-comb,malignant,malignant,CY89A_Core_15_A09_S9_comb,B,B
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-B11-S407-comb,-73.63255154,0.997059384,cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-F01-S157-comb,malignant,malignant,CY89A_CD45_POS_4_E04_S436_comb,T,T
cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-C05-S221-comb,-48.2258034,-21.10597906,cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-D09-S45-comb,malignant,malignant,CY89A_CD45_POS_6_G11_S179_comb,T,T
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-C03-S411-comb,-65.90732885,24.41804753,cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-A08-S392-comb,T,T,CY89A_Core_15_F03_S63_comb,undefined,undefined
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-F11-S551-comb,31.62988212,36.78287497,cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-D12-S432-comb,T,T,CY89A_CD45_POS_6_F02_S158_comb,T,T
cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-B12-S216-comb,-39.50975445,23.02089461,cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-H03-S279-comb,T,T,CY89A_CD45_POS_6_H11_S191_comb,T,T
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-C09-S513-comb,35.14201977,35.05460185,cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-H01-S181-comb,malignant,malignant,CY89A_CD45_POS_4_C09_S417_comb,B,B
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-G03-S459-comb,-42.86565113,21.59619634,cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-A04-S4-comb,malignant,malignant,CY89A_Core_15_F02_S62_comb,T,T
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-D10-S430-comb,7.10460051,16.31028388,cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-C04-S412-comb,T,T,CY89A_Core_15_F11_S71_comb,T,T
cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-F12-S264-comb,-65.93915191,-9.687427701,cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-B08-S20-comb,malignant,malignant,CY89A_CD45_POS_4_A04_S388_comb,T,T
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-E02-S434-comb,-41.17620825,23.61175743,cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-D11-S335-comb,malignant,malignant,CY89A_CD45_POS_4_C12_S420_comb,B,B
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-A02-S386-comb,-52.9621288,-10.87942676,cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-D10-S334-comb,malignant,malignant,CY89A_CD45_POS_4_D04_S424_comb,T,T
cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-F06-S258-comb,-68.2198344,-6.430590346,cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-H01-S373-comb,malignant,malignant,CY89A_Core_15_H06_S90_comb,T,T
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-G07-S559-comb,7.509289163,-71.23308403,cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-F03-S159-comb,malignant,malignant,CY89A_CD45_POS_4_A12_S396_comb,T,T
cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-H04-S280-comb,-69.47356951,-6.612922866,cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-C11-S419-comb,T,T,CY89A_Core_15_C07_S31_comb,T,T
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-H12-S576-comb,-0.577666226,-28.73537087,cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-E08-S56-comb,malignant,malignant,CY89A_CD45_POS_4_E05_S437_comb,B,B
cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-H10-S478-comb,-70.6304265,9.973429777,cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-B12-S504-comb,B,B,CY89A_CD45_POS_6_H04_S184_comb,undefined,undefined
cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-F08-S548-comb,7.194555293,-72.53989803,cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-G08-S272-comb,T,T,CY89A_CD45_POS_6_B12_S120_comb,T,T
cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-B03-S207-comb,-70.49186531,-2.735416818,cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-A07-S7-comb,malignant,malignant,CY89A_CD45_POS_4_D07_S427_comb,Macrophage,Macrophage
cy79-p4-CD45-pos-PD1-pos-G06-S366-comb,-37.83804785,16.79174276,cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-B11-S119-comb,malignant,malignant,CY89A_CD45_POS_4_E07_S439_comb,T,T
cy79-p4-CD45-pos-PD1-pos-C04-S316-comb,-46.07320885,15.49801409,cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-D04-S328-comb,undefined,undefined,CY89A_CD45_POS_4_E12_S444_comb,T,T
cy79-p5-CD45-pos-PD1-pos-G10-S658-comb,-60.72392637,6.581695165,cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-G02-S170-comb,malignant,malignant,CY89A_CD45_POS_6_D03_S135_comb,T,T
cy79-p4-CD45-neg-PDL1-neg-D09-S1101-comb,8.35366935,46.28374173,cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-E11-S539-comb,T,T,CY89A_Core_15_F04_S64_comb,B,B
cy79-p5-CD45-pos-PD1-pos-C10-S610-comb,-71.90157798,2.407137874,cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-E06-S534-comb,B,B,CY89A_CD45_POS_4_D05_S425_comb,T,T
cy79-p5-CD45-pos-PD1-pos-C01-S601-comb,-56.32499064,-11.07887613,cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-B02-S398-comb,T,T,CY89A_Core_15_C10_S34_comb,T,T
cy79-p4-CD45-pos-PD1-pos-A09-S297-comb,-14.85579206,7.754584793,cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-F04-S448-comb,T,T,CY89A_CD45_POS_4_G05_S461_comb,B,B
cy80-CD45-neg-G11-S947-comb,90.78402634,26.1214662,cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-C10-S226-comb,T,T,CY89A_CD45_POS_10_A06_S198_comb,T,T
cy79-p4-CD45-pos-PD1-pos-B03-S303-comb,-41.59925069,29.11488831,cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-G02-S554-comb,B,B,CY89A_CD45_POS_6_F10_S166_comb,T,T
cy79-p4-CD45-pos-PD1-pos-G07-S367-comb,-71.18785438,4.404373356,cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-H03-S375-comb,malignant,malignant,CY89A_Core_15_B06_S18_comb,T,T
cy79-p5-CD45-neg-PDL1-neg-D04-S808-comb,59.75769117,9.734444625,cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-F11-S167-comb,malignant,malignant,CY89A_CD45_POS_6_D06_S138_comb,undefined,undefined
cy79-p4-CD45-pos-PD1-pos-A04-S292-comb,-43.37290863,28.72648167,cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-G09-S273-comb,T,T,CY89A_CD45_POS_6_G10_S178_comb,T,T
cy79-p5-CD45-pos-PD1-pos-A04-S580-comb,-62.23976553,-18.27669575,cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-C04-S316-comb,malignant,malignant,CY89A_CD45_POS_6_F05_S161_comb,B,B
cy80-CD45-neg-B11-S887-comb,59.12489238,-11.653826,cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-F06-S162-comb,malignant,malignant,CY89A_Core_15_F05_S65_comb,B,B
cy79-p5-CD45-pos-PD1-pos-F06-S642-comb,-67.91247143,3.78629761,cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-H05-S281-comb,T,T,CY89A_CD45_POS_4_F12_S456_comb,T,T
cy79-p4-CD45-pos-PD1-pos-C11-S323-comb,-40.04364298,23.17152514,cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-B06-S210-comb,T,T,CY89A_Core_15_G05_S77_comb,T,T
cy79-p5-CD45-pos-PD1-pos-B04-S592-comb,-59.61989796,7.475452011,cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-C03-S507-comb,T,T,CY89A_CD45_POS_6_C08_S128_comb,T,T
cy79-p5-CD45-pos-PD1-pos-F10-S646-comb,-64.8782989,1.485376121,cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-D07-S235-comb,T,T,CY89A_CD45_POS_6_G02_S170_comb,T,T
cy80-CD45-neg-G07-S943-comb,88.44817479,20.35978459,cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-A12-S108-comb,malignant,malignant,CY89A_CD45_POS_10_A11_S203_comb,B,B
cy79-p4-CD45-pos-PD1-pos-A03-S291-comb,-66.08404766,11.53150472,cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-B04-S304-comb,malignant,malignant,CY89A_Core_15_G06_S78_comb,T,T
cy80-CD45-neg-D12-S912-comb,69.14554268,23.95156453,cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-F04-S160-comb,malignant,malignant,CY89A_CD45_POS_4_D08_S428_comb,T,T
cy79-p4-CD45-pos-PD1-pos-D08-S332-comb,-43.11923899,32.74900778,cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-C08-S128-comb,malignant,malignant,CY89A_CD45_POS_10_H07_S283_comb,T,T
cy79-p5-CD45-pos-PD1-pos-D02-S614-comb,-63.91072476,9.391196822,cy79-p3-CD45-pos-PD1-pos-AS-C2-R1-F09-S453-comb,T,T,CY89A_CD45_POS_6_B08_S116_comb,T,T
cy79-p5-CD45-pos-PD1-pos-A07-S583-comb,-68.99976489,-8.424864702,cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-F03-S63-comb,malignant,malignant,CY89A_CD45_POS_6_B02_S110_comb,T,T
cy79-p5-CD45-pos-PD1-pos-G04-S652-comb,-61.7860175,-2.839646954,cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-H07-S187-comb,malignant,malignant,CY89A_CD45_POS_4_G02_S458_comb,T,T
cy79-p5-CD45-pos-PD1-pos-C11-S611-comb,-44.38232863,23.25866691,cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-B07-S115-comb,malignant,malignant,CY89A_CD45_POS_6_G03_S171_comb,T,T
cy79-p4-CD45-pos-PD1-pos-D02-S326-comb,-68.39498328,5.933408188,cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-G04-S172-comb,malignant,malignant,CY89A_CD45_POS_4_G01_S457_comb,T,T
cy79-p4-CD45-pos-PD1-pos-G08-S368-comb,-59.23197414,0.452584999,cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-F09-S549-comb,B,B,CY89A_Core_15_E05_S53_comb,undefined,undefined
cy79-p5-CD45-pos-PD1-pos-F08-S644-comb,-55.37729539,-10.68420679,cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-G07-S79-comb,malignant,malignant,CY89A_CD45_POS_6_G06_S174_comb,B,B
cy80-CD45-neg-C06-S894-comb,90.92214598,26.93373279,cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-G12-S180-comb,malignant,malignant,CY89A_Core_15_C12_S36_comb,B,B
cy79-p5-CD45-pos-PD1-pos-F12-S648-comb,-69.52489223,3.397236027,cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-B10-S310-comb,malignant,malignant,CY89A_Core_15_C08_S32_comb,T,T
cy79-p4-CD45-pos-PD1-pos-A10-S298-comb,-41.27503373,30.11249906,cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-G11-S275-comb,T,T,CY89A_Core_15_C09_S33_comb,T,T
cy79-p5-CD45-pos-PD1-pos-H02-S662-comb,-74.5274786,7.728135949,cy79-p1-CD45-pos-PD1-neg-AS-C1-R2-E07-S535-comb,B,B,CY89A_CD45_POS_6_D02_S134_comb,T,T
cy79-p4-CD45-pos-PD1-pos-F06-S354-comb,-15.18328464,9.880341016,cy79-p1-CD45-pos-PD1-pos-AS-C5-R1-A10-S202-comb,T,T,CY89A_CD45_POS_4_E02_S434_comb,T,T
cy79-p5-CD45-pos-PD1-pos-E09-S633-comb,-64.42354135,-9.286398715,cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-G03-S75-comb,malignant,malignant,CY89A_CD45_POS_4_D10_S430_comb,T,T
