Column1,Column2,Column3,Column1,Column2,Column3,,,
NAME,X,Y,NAME,CLUSTER,SUB-CLUSTER,,,
TYPE,numeric,numeric,TYPE,group,group,,,
CY58_1_CD45_B01_S973_comb,-9.989456931,65.55187623,CY58_1_CD45_A10_S970_comb,T,T,cy80-CD45-neg-D04-S424-comb,T,T
CY58_1_CD45_H12_S1056_comb,-5.297574478,-29.35356888,Cy72_CD45_D12_S720_comb,T,T,cy78-CD45-neg-3-G01-S745-comb,CAF,CAF
CY58_1_CD45_F05_S1025_comb,-31.66619854,50.55260736,CY58_1_CD45_F11_S1031_comb,T,T,cy80-CD45-neg-E10-S442-comb,T,T
Cy74_CD45_E06_S438_comb,-43.55299704,40.61932017,Cy81_FNA_CD45_F01_S253_comb,T,T,cy84-Met-CD45-pos-G01-S937-comb,T,T
CY58_1_CD45_H02_S1046_comb,-29.08457741,12.2829765,Cy74_CD45_A08_S392_comb,T,T,cy80-CD45-neg-C04-S412-comb,T,T
Cy72_CD45_A07_S679_comb,26.45126991,-51.7005707,Cy71_CD45_G06_S558_comb,T,T,cy84-Met-CD45-pos-B04-S880-comb,undefined,undefined
Cy74_CD45_G02_S458_comb,-8.925588728,20.95161565,Cy74_CD45_A04_S388_comb,T,T,cy80-CD45-neg-A06-S390-comb,undefined,undefined
Cy72_CD45_G12_S756_comb,-6.913045183,60.89634061,CY58_1_CD45_B01_S973_comb,T,T,cy80-CD45-neg-G08-S464-comb,T,T
Cy72_CD45_B02_S686_comb,-7.688492616,52.12430829,CY58_1_CD45_H12_S1056_comb,T,T,cy84-Met-CD45-pos-A02-S866-comb,B,B
CY58_1_CD45_B09_S981_comb,-13.19066358,48.66419316,CY58_1_CD45_F05_S1025_comb,T,T,cy80-CD45-neg-B12-S408-comb,T,T
Cy74_CD45_E04_S436_comb,-51.08991572,-26.84880276,Cy74_CD45_E06_S438_comb,undefined,undefined,cy80-CD45-neg-E01-S433-comb,B,B
Cy81_FNA_CD45_A02_S194_comb,-22.24491353,56.07487843,CY58_1_CD45_H02_S1046_comb,T,T,cy80-CD45-neg-C07-S415-comb,T,T
Cy81_FNA_CD45_A06_S198_comb,-35.22168935,51.30957272,Cy72_CD45_A07_S679_comb,B,B,cy78-CD45-neg-3-G05-S749-comb,undefined,undefined
Cy74_CD45_F01_S445_comb,-53.47768612,40.06077077,Cy74_CD45_G02_S458_comb,T,T,cy84-Met-CD45-pos-F10-S934-comb,undefined,undefined
Cy72_CD45_E06_S726_comb,-6.261495332,55.67576254,Cy71_CD45_H05_S569_comb,undefined,undefined,cy80-CD45-neg-F05-S449-comb,T,T
Cy72_CD45_E11_S731_comb,-6.756332534,58.29769257,Cy72_CD45_G12_S756_comb,T,T,cy80-CD45-neg-H01-S469-comb,undefined,undefined
